plate,meaning,gpt_cluster_meaning,gpt_classification,zeroshot_cluster_meaning,zeroshot_classification,unified_gpt_classification,unified_zeroshot_classification
UR SALTY,YOU ARE SALTY,Explicit and Vulgar Language,2,Sexual References,4,1,5
BLCKOWT,BLACK OUT,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
C HUSSLE,CHARLIE HUSTLE(ATHLETE),Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
AKLUV,AK=GUN OR AK=ALASKA LOVE,Weapons,4,Weapons,3,4,4
IDGF IGA,I DON’T GIVE A FUCK I GO ANYWHERE,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
DUNG HO,DUNG HOE,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
GR8X4US,GREAT X=TIMES/SEX/EXTASY FOR US,Sexual References,5,Sexual References,4,5,5
SMLYTT,SMILEY TIANTIAN(NAME),Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
RNMF2,RUN MOTHERFUCKER,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
ASMAN1,LOOKS LIKE ASS MAN 1,Explicit and Vulgar Language,2,Sexual References,4,1,5
MFU,MOTORCYCLES FOR UNITY OR MAD FUCKED UP OR MIDDLE FINGER UP,Vehicle Related,8,Vehicle Related,0,3,3
SHZNATS,SHIZNITS(PHRASE),Personal Names and Sentimental Values,6,Sexual References,4,6,5
1ULV2H8,ONE YOU LOVE TO HATE,Explicit and Vulgar Language,1,Vehicle Related,0,1,3
SF SNIPR,SPECIAL FORCES SNIPER OR SAN FRANCISCO SNIPER,Explicit and Vulgar Language,2,Gang and Drug References,2,1,0
NUKEZ,NUKES=WEAPON,Weapons,4,Weapons,3,4,4
BITSHYD,BITCH SHIT,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
WTF RHD,WHAT THE FUCK RHD(RIGHT HAND DRIVE?),Vehicle Related,8,Vehicle Related,0,3,3
415CITY,[AREA CODE]  CITY,Area Codes and Regional Pride,9,Area Codes and Regional Pride,7,2,2
MZENBLU,MAIZE AND BLUE,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
LNCHBX1,LUNCH BOX,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
RED GUTS,RED GUTS(INTERIOR),Vehicle Related,3,Weapons,3,3,4
MRQ9999,MR QUOC 9999,Explicit and Vulgar Language,2,Area Codes and Regional Pride,7,1,2
ASS HOL,ASSHOLE,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
LOWSTDS,LOW STANDARDS,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
CEIDYAF,CEIDY=SEEDY AF = AS FUCK,Sexual References,5,Sexual References,4,5,5
7TFREAK,1970(CAR YEAR) THE FREAK,Vehicle Related,8,Vehicle Related,0,3,3
5OTOSLW,FIVE-OH=POLICE TOO SLOW,Weapons,4,Explicit and Vulgar Language,1,4,1
LA NEGRI,NERGRI=BLACK PLURAL IN SPANISH,Vehicle Related,3,Explicit and Vulgar Language,1,3,1
XID MARY,CROSS EYED MARY,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
FTZYMBZ,FUTZY MERCES BENZ,Vehicle Related,8,Vehicle Related,0,3,3
F ONE,FORMULA ONE RACING OR FUCK ONE,Vehicle Related,8,Vehicle Related,0,3,3
NUKEMOM,NUCLEAR MOM,Weapons,4,Explicit and Vulgar Language,1,4,1
CLAUDKL,GAMING NAME,Explicit and Vulgar Language,2,Weapons,3,1,4
RZR BOXX,RAZOR BOX,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
2DOMNAT,TO DOMINATE,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
FUYOU,"FUCK YOU, customer name is Fuyou Gu",Personal Names and Sentimental Values,6,Explicit and Vulgar Language,1,6,1
FUCHI 3,FUCHI=BAD SMELLING,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
LILDICK,LITTLE DICK,Sexual References,5,Sexual References,4,5,5
HELLTRN,HELL TRAIN,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
PORMEXN,POOR MEXICAN\,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
HILLTTR,HILL(NAME) TRUCK AND TRAILER,Vehicle Related,8,Vehicle Related,0,3,3
HELION 1,HELION=FROM HELL,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
PURE LVN,PURE LIVING OR PURE LOVIN,Explicit and Vulgar Language,2,Cats and Pets,6,1,7
OH MY 69,OH MY 69(SEXUAL),Sexual References,5,Sexual References,4,5,5
XOXXXOX,HUG AND KISSES SYMBOLS XXX SEXUAL REFERENCE,Sexual References,5,Sexual References,4,5,5
88HHH88,88-HITLER,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
CUH82BU,SEE YOU HATE TO BE YOU,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
ITS MY G,IT IS MY G(CAR MODEL),Vehicle Related,8,Vehicle Related,0,3,3
MRBGSTF,MR BIG STUFF(SONG OR SEXUAL REFERENCE),Sexual References,5,Sexual References,4,5,5
619,WEDDING ANNIVERSARY. JUNE 19TH,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
DROPN U,DROPPING YOU=LEAVING YOU BEHIND OR KNOCK SOMEONE OUT.,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
HOTTBCH,HOT BITCH,Explicit and Vulgar Language,2,Sexual References,4,1,5
PAZZO 13,ITALIAN FOR DERANGED/CRAZY 13 = GANG NUMBER?,Personal Names and Sentimental Values,6,Explicit and Vulgar Language,1,6,1
HYRDKLR,HIRED KILLER,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
1SIKFKR,ONE SICK FUCKER,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
FOGYOU,fuck you,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
STFUPLZ,SHUT THE FUCK UP PLEASE,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
BULYPWS,I HAVE BULLDOGS. IT MEANS BULLDOG PAWS,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
RX PHO,RX=MEDICINE PHO=SOUP,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
THEBUNZ,THE BUNS=BUTT,Explicit and Vulgar Language,2,Sexual References,4,1,5
DRAG CAT,DRAG(AS IN DRIFT) HELLCAT(CAR),Explicit and Vulgar Language,2,Vehicle Related,0,1,3
MADMAC,MAD MAC(MOVIE),Explicit and Vulgar Language,2,Vehicle Related,0,1,3
KYLERHO,NAME AND LAST NAME,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
69MOBBN,69 MOBBING,Explicit and Vulgar Language,2,Weapons,3,1,4
8ZERO5,AREA CODE,Area Codes and Regional Pride,9,Area Codes and Regional Pride,7,2,2
TURBO HO,TURBO HOE,Vehicle Related,8,Vehicle Related,0,3,3
MOB LYFE,MOB LIFE,Explicit and Vulgar Language,2,Gang and Drug References,2,1,0
WIKDCAT,WICKED CAT,Explicit and Vulgar Language,2,Cats and Pets,6,1,7
1SLKHOE,ONE SLICK(?) HOE,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
ALLEKT,ALLEY CAT(NICKNAME),Cats and Pets,7,Cats and Pets,6,7,7
SUPFCKR,WHATS UP FUCKER,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
MVEVRNP,MOVE OVER AND PEE,Explicit and Vulgar Language,2,Sexual References,4,1,5
SCPO,SENIOR CHIEF PETTY OFFICER,Weapons,4,Cats and Pets,6,4,7
HOG BOSS,HOG=MOTORCYCLE BOSS,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
LO NUTS,LIVE OAKE NUTS(MASCOT),Explicit and Vulgar Language,2,Sexual References,4,1,5
GO UGLY,GO UGLY(PHRASE),Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
OGSURFR,OLD GUY SURFER OR ORIGINAL GANGSTER SURFER,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
FJ55 PIG,FJ55=CAR MODEL. NICKNAMED THE IRON PIG.,Vehicle Related,8,Vehicle Related,0,3,3
RANDG,ROBERT AND GRISELDA,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
AMPD BLU,AMPED BLUE (CAR COLOR),Vehicle Related,3,Vehicle Related,0,3,3
9EFSGVN,NO(NEIEN) FUCKS GIVEN,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
BDCMJB,BAD CUM JOB,Sexual References,5,Explicit and Vulgar Language,1,5,1
CREDO13,LATIN FOR I BELIEVE 13-GANG?,Personal Names and Sentimental Values,6,Explicit and Vulgar Language,1,6,1
BLACKD2,BLACK D2(CAR MODEL) OR BLACK D AS IN DICK TOO,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
PAPO2O9,PAPA [AREA CODE],Area Codes and Regional Pride,9,Area Codes and Regional Pride,7,2,2
SXE CBRA,SEXY COBRA,Vehicle Related,8,Sexual References,4,3,5
BADASRV,BAD ASS RV,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
GOCMNDO,GO COMANDO=UNDERWEAR LESS,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
BIMBOS2,BIMBO,Explicit and Vulgar Language,2,Area Codes and Regional Pride,7,1,2
4LILBLU,FOR LITTLE BLUE,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
KO 42O,KNOCK OUT 420=MARIJUANA,Explicit and Vulgar Language,2,Gang and Drug References,2,1,0
GTSGTFO,GTS=GO TO SLEEP(?) GTFO=GET THE FUCK  OUT,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
NVTANK,NV(CAR MODEL) TANK(NICKNAME),Explicit and Vulgar Language,2,Vehicle Related,0,1,3
IHORSI,HORSIES(AFFECTIONATE PLURAL OF HORSES),Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
LVE TOY,A LOVIE TOYOTA LOVE TOY,Vehicle Related,8,Vehicle Related,0,3,3
ULOVGAS,YOU LOVE GAS,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
HPARMRY,HIS PLACE ARMORY,Weapons,4,Weapons,3,4,4
SPARK ME,SPARK ME SPARK=DRUGS?,Gang and Drug References,0,Gang and Drug References,2,0,0
FVCKYOV,FUCK YOU,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
AHHBLUE,AHH BLUE(NICKNAME),Vehicle Related,3,Sexual References,4,3,5
MCHE BMB,MICHELLE IS THE BOMB,Weapons,4,Weapons,3,4,4
7HORCRX,7 HORCRUX(MOVIE REFERENCE),Explicit and Vulgar Language,2,Vehicle Related,0,1,3
DONG ANH,DONG=PENIS ANH(?),Sexual References,5,Sexual References,4,5,5
STYMOBN,STAY RIDDING MOBBIN,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
REDRRMM,RED RUM=MURDER,Vehicle Related,3,Explicit and Vulgar Language,1,3,1
SIGG9MM,SIGG=SICK(?) 9MM=GUN,Weapons,4,Weapons,3,4,4
BBADASP,BAD ASS,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
2MUCHFN,TOO MUCH FUN OR FUCKING,Explicit and Vulgar Language,1,Sexual References,4,1,5
SPARK 24,SPARK=SMOKE(MARIJUANA) 24(HOURS)=ALL DAY,Gang and Drug References,0,Gang and Drug References,2,0,0
UNION OG,UNION ORIGINAL GANGSTER,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
S A Z Z,SASS OR ASS,Explicit and Vulgar Language,2,Sexual References,4,1,5
FSH BCH,FISH BEACH OR FISH BITCH,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
PUBIKER,stinking biker PUBIC AND BIKER,Vehicle Related,8,Explicit and Vulgar Language,1,3,1
IKWEENB,ONE QUEEN BEE,Explicit and Vulgar Language,2,Sexual References,4,1,5
NKD BRWR,NAKED BREWER(PHRASE),Gang and Drug References,0,Weapons,3,0,4
AR15MAN,AR15=GUN MAN,Weapons,4,Weapons,3,4,4
JHCFX4U,JESUS H CHRIST FUCK YOU,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
EAT MOB,EAT MOB,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
B MFB,B=BAD MFB-MOTHER FUCKING BEAST(BITCH?),Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
E M 323,[INITIALS] [AREA CODE],Area Codes and Regional Pride,9,Area Codes and Regional Pride,7,2,2
GMONEY3,G=GANGSTER MONEY,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
KATCLSM,CATACLYSM,Cats and Pets,7,Cats and Pets,6,7,7
ESE RIX,ESSE=THAT'S RICKS,Explicit and Vulgar Language,2,Sexual References,4,1,5
H8,HATE,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
UPNSMK4,UP IN SMOKE (DRIVING),Gang and Drug References,0,Vehicle Related,0,0,3
RUCKING,FUCKING,Explicit and Vulgar Language,1,Sexual References,4,1,5
CR8VCAT,CREATIVE PERSON LOVES CATS,Cats and Pets,7,Cats and Pets,6,7,7
BLUSHU,BLUE SHOE (CAR NICKNAME),Vehicle Related,3,Vehicle Related,0,3,3
2HUMMR2,MAKE AND MODEL OF CAR,Vehicle Related,8,Vehicle Related,0,3,3
WT TRASH,WHITE TRASH,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
NPY CHK,NAPPY CHICK,Explicit and Vulgar Language,2,Sexual References,4,1,5
7DKHIM,dick him,Sexual References,5,Sexual References,4,5,5
BDAZSRT,BADASS RT(?),Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
P72O71O,"FIRST INITIAL OF LAST NAME AND BIRTH YEARS OF ME, WIFE AND KIDS",Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
KAKEGRL,CAKE GIRL cake=ass?,Explicit and Vulgar Language,2,Sexual References,4,1,5
ACOWTNT,ACCOUNTANT,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
BLACK AS,BLACK AS=AS SHIT OR ASS ,Vehicle Related,3,Explicit and Vulgar Language,1,3,1
WESSON 1,SMITH AND WESSON=GUN,Weapons,4,Weapons,3,4,4
GUANO37,GUANO=BIRD POOP,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
69 GOAT,69=SEX ACT G.O.A.T.=GREATEST OF ALL TIME,Sexual References,5,Sexual References,4,5,5
BDASAMG,BADASS MG(?),Explicit and Vulgar Language,2,Vehicle Related,0,1,3
CALSTA,CALIFORNIA STATE,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
TRIGGGR,TRIGGER,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
H82 7OUT,HATE TO 7 OUT,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
REDSPRT,RED SPORT (CAR COLOR AND MODEL),Vehicle Related,8,Vehicle Related,0,3,3
HELL RAM,HELLCAT RAM,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
PUMPZ,PUMPS,Sexual References,5,Cats and Pets,6,5,7
PATSH8R,"PATS(PATRIOTS, SPORTS TEAM) HATER",Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
BEMYBAE,BE MY BAE(PARTNER),Sexual References,5,Personal Names and Sentimental Values,5,5,6
1DSLDVA,1 DEISEL DIVA,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
IHATPPL,I HAT (OR HATE) PEOPLE,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
BALA,BALLER,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
17CUCA,CUCA = COCKROACH IN SPANISH,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
LAKR213,LOS ANGELES LAKERS [AREA CODE],Area Codes and Regional Pride,9,Area Codes and Regional Pride,7,2,2
LRA2788,LUCKY NUMBERS,Personal Names and Sentimental Values,6,Vehicle Related,0,6,3
WTF Z33,MY CAR IS Z33 AND THIS IS MY DREAM CAR. MY MOTHER BOUGHT ME THIS DREAM CAR. WTF HIS HER CHINA NAME WONG TIN FANG,Vehicle Related,8,Vehicle Related,0,3,3
SOMOIST,I AM A PROFESSIONAL CAKE DECORATOR  AND THE CAKE IS DELICIOUS AND MOIST,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
FUKI5I5,I AM AGAINST TERRORISM. FUCK ISIS,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
GOOOOON,PLATES ARE GOING ON A 71 DATSUN WAGON. IN THE CAR SCENE THE DATSUN WAGONS ARE REFFERED TO AS GOONS,Gang and Drug References,0,Vehicle Related,0,0,3
PSYCHPS,AM A PSYCHOLOGIST IN PALM SPRINGS,Explicit and Vulgar Language,2,Area Codes and Regional Pride,7,1,2
LES 14,LESTER 2014,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
O1TIME,YOU ONLY HAVE TO LOOK AT IT ONE TIME!,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
PORKYYY,nickname,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
BONG 14,DEPECHE MODE WHICH IS MUSIC BAND NAME,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
H8 RICE,I HAVE A GLUTEN ALLERGY AND I DONT LIKE RICE,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
VACA 13,OUR FAMILYS LAST NAME AND THE DAY I WAS BORN.,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
DAMMITT,DAMN IT,Explicit and Vulgar Language,1,Vehicle Related,0,1,3
BSTD G8,BASTARD… BEASTED…,Sexual References,5,Explicit and Vulgar Language,1,5,1
PACKER G,GREEN BAY PACKER FAN AND THE G STANDS FOR GARCOUSHA OUR LAST NAME,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
BTF OFF,BACK THE FUCK OFF,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
GOOCH,LAST NAME AND PRIVATE AREA,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
GANGFWD,GANG? WHAT THEY SAY IS TRUE,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
S$M 18,LUCKY LOVE NUMBER,Personal Names and Sentimental Values,6,Sexual References,4,6,5
MMA DUBZ,"customer is Katrina Coles, not Washington. Dubs can have a drug connotation",Gang and Drug References,0,Gang and Drug References,2,0,0
13BLKRT,2013 BLACK CHALLENGER RT,Vehicle Related,8,Vehicle Related,0,3,3
BJS HEMI,BJS BLOW JOB CUSTOMER INITIALS NOT BJ,Sexual References,5,Explicit and Vulgar Language,1,5,1
XTRRMN8,"EXTERMINATE - FROM DOCTOR WHO EXTERMINATE, COULD BE TAKEN AS HOSTILE",Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
ITSHUGE,"THE PLATE IS FOR A NISSAN ARMADA AND ITS  VERY LARGE. REFERENCE TO A PENIS, SEXUAL REFERENCE",Gang and Drug References,0,Sexual References,4,0,5
SNO BOMR,SNOW BOMBER,Explicit and Vulgar Language,2,Weapons,3,1,4
O11235B,Fibonacci sequence which is a mathematic term,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
1DRLUST,WONDER LUST,Sexual References,5,Sexual References,4,5,5
8O H O8,80=MY UNCLE 08 MY GRANDSON H IS FOR NAME,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
14 CBYC,CABRILLO BEACH YACHT CLUB COMMODORE 2014,Vehicle Related,8,Vehicle Related,0,3,3
BRAD13,THIS IS MY NICK NAME AS MY FIRST NAME IS  BRIDGETTE AND MY LAST NAME IS RADABAUGH. I PICKED 13 BECAUSE IT IS MY BIRTHDAY AND MY FAVORITE NUMBER,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
ZMBONEE,A ZAMBONIE IS A MACHINE USED TO GET ICE READY TO PLAY HOCKEY,Gang and Drug References,0,Vehicle Related,0,0,3
IH8TRFC,"I hate traffic,no quickweb",Explicit and Vulgar Language,2,Vehicle Related,0,1,3
K18QV11,CHILDRENS NAME AND BIRTHDAY,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
SUC1A 1,Bad words suck you all,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
M17LOVE,MITCHELLE FAVORITE NUMBER LOVE,Personal Names and Sentimental Values,6,Sexual References,4,6,5
PURE FN,MY COMPANY NAME IS PURE FINANCIAL,Personal Names and Sentimental Values,6,Explicit and Vulgar Language,1,6,1
SLYNPOW,SLAYIN POWDER SNOWBAORDING TERM FOR RIDING POWDER,Gang and Drug References,0,Vehicle Related,0,0,3
NACLBLS,I AM A CALIFORNIA STATE PARAMEDIC AND THE N A C L IS THE CHEMICAL NAME FOR SODIUM CHLORIDE (IV SOLUTION) AND THE B L S IS BASIC LIFE SUPPORT,Gang and Drug References,0,Area Codes and Regional Pride,7,0,2
BIGGBLU,VAN IS THE COLOR BLUE,Vehicle Related,8,Vehicle Related,0,3,3
2OH9 GTO,209 AREA CODE. PONTIAC GTO FROM THE 209 AREA CODE,Area Codes and Regional Pride,9,Vehicle Related,0,2,3
IJNIP,IN JESUS NAME I PRAY.,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
OMGXWTF,WHAT THE FUCK,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
GTWBALZ,MUSTANG GT WITH AFTERMARKET POWER MODIFICATIONS,Vehicle Related,8,Vehicle Related,0,3,3
EY VATO,HEY BUDDY in Spanish,Gang and Drug References,0,Sexual References,4,0,5
BLOWWWN,VEHICLE IS A HELLCAT WITH A SUPERCHARGED (OR BLOWN) ENGINE.,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
BLUPHX,BLUE PHOENIX TO RISE FROM THE ASHES,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
WREATER,IT MEANS I COMPEAT WITH WIDE RECEIVERS ON THE FOOTBALL FIELD,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
2NDN8TR,SECOND NATURE- MY BUSINESS NAME,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
BLQXTC,ECSTASY IS A DRUG REFERENCE,Gang and Drug References,0,Gang and Drug References,2,0,0
HELLC16,HELLCAT 2016 NAME OF THE DODGE CHALLENGER CAR MODEL,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
PB1O 51O,PUNJA 510,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
KING BRA,ITS A 2014 SHELBY COBRA AND IT IS KING.,Vehicle Related,8,Vehicle Related,0,3,3
BLKSKAT,COLOR AND MODEL OF VEHICLE,Vehicle Related,8,Vehicle Related,0,3,3
FK TRUMP,FUCK TRUMP,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
BLCK BST,BLACK BEAST FOR BLACK DODGE CHALLENGER HAS A 2013 DODGE CP ON ANI,Vehicle Related,8,Vehicle Related,0,3,3
R8DER88,IMA RAIDER FAN AND I WAS BORN ON 1988,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
DRV PINK,DRIVE PINK = SUPPORTING BREAST CANCER RESEARCH,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
SLM O916,INITIALS AND B IRTHDAY ,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
GUNSTOR,I OWN TWO GUN STORES GUN STORE,Weapons,4,Weapons,3,4,4
911 JUMP,EMERGENCY JUMPSTART,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
TPOTKID,"TEA POT KID, MY DADS NICKNAME AND WE INHERITED HIS CAR",Vehicle Related,8,Vehicle Related,0,3,3
FLAT SEX,REFERS TO THE SPECIAL FLAT 6 NORMALLY ASPIRATED ENGINE WHICH IS IN THE CAR,Vehicle Related,8,Vehicle Related,0,3,3
BLKBEZY,"BLACK FOR BLACK CAR, BEEZY NICKNAME",Vehicle Related,3,Vehicle Related,0,3,3
STANKEE,(VEHICLE) IT STINKS,Vehicle Related,8,Vehicle Related,0,3,3
L A BUMZ,an insult… but has been out spelled with an s since 1984,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
MY 1 TACO,MY FIRST TACOMA. TACO IS SHORT FOR TACOMA (TOYOTA TRUCK),Explicit and Vulgar Language,2,Vehicle Related,0,1,3
R1O2712,BIRTH DATE,Personal Names and Sentimental Values,6,Vehicle Related,0,6,3
515OR8,OAKLAND RAIDERS FAN NICKNAME,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
KHACH$U,MEMORIAL FOR MY OLDER BROTHER WHO PASSED AWAY,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
IRINA D,WIFES NAME,Personal Names and Sentimental Values,6,Weapons,3,6,4
OO7S911,JAMES BOND CAR,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
3OH XHT,30 IS MY FAVORITE NUMBER. H IS MY LOVERS INTIAL. X FOR KISS. HT IS MY INITIALS,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
PAPO,SPANISH SLANG FOR VAGINA,Gang and Drug References,0,Sexual References,4,0,5
GRVSEND,GRAVES END AN AREA OF BROOKLYN NY,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
GTOKEEF,KEITHS GTO,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
MAS TACO,TACOMAS IN RANDOM SEQUENCE,Vehicle Related,8,Vehicle Related,0,3,3
415 JEEP,POLICE CODE FOR DISTURBANCE AND MAKE OF VEHICLE,Weapons,4,Vehicle Related,0,4,3
82 WPB,WE PULL BITCHES. THIS IS A VETERAN AUTO PLATE,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
8O5BUMN,(805) AREA CODE IN SANTA BARBARA (BUMN) BEING A BUM ON THE BEACH,Area Codes and Regional Pride,9,Explicit and Vulgar Language,1,2,1
BLU7PRL,SPIRITUAL WISDOM BLUE ,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
LT HOE,HOE-WHORE,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
SAVG TRD,SAVAGE TOYOTA RACING DEVELOPMENT,Vehicle Related,8,Vehicle Related,0,3,3
NR & OG,NO REGRETS ORIGINAL MEMBER. ITS A CAR CLUB.,Vehicle Related,8,Vehicle Related,0,3,3
GRINNY G,I GRIN A LOT,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
SXYLITB,"THE B MOST LIKELY STANDS FOR BITCH, SEXY LIT BITCH",Explicit and Vulgar Language,2,Sexual References,4,1,5
KRAPF,FAMILY NAME,Personal Names and Sentimental Values,6,Cats and Pets,6,6,7
IIDH8TO,INDUSTRIAL INJECTION DIESEL HOUSTON,Gang and Drug References,0,Vehicle Related,0,0,3
2JS OSHT,FUNNY QUOTE FROM THE MOVIE FAST AND  FURIOUS,Vehicle Related,8,Explicit and Vulgar Language,1,3,1
PC PUMPN,PUMPIN IS A SEXUAL REFERENCE,Sexual References,5,Sexual References,4,5,5
PEW X2,PEW PEW WAS TAKEN. ITS A FUNNY WAY OF SAYING TARGET PRACTICE FOR VETERA,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
TMGLIFE,TMG = TAKE MANS GASH (GIRL),Explicit and Vulgar Language,2,Vehicle Related,0,1,3
GUN1NER,MOTORCYCLE MODEL,Vehicle Related,8,Vehicle Related,0,3,3
MO THUGZ,HIGH SCHOOL NICKNAME,Personal Names and Sentimental Values,6,Sexual References,4,6,5
RAPT KLR,VEHICLE HAS A VINYL BODY WRAP AND ITS FAST SO ITS A KLR RIDE,Vehicle Related,8,Vehicle Related,0,3,3
2F4 PLAY,TO FORPLAY SEXUAL REFERENCE,Sexual References,5,Sexual References,4,5,5
