,plate,customer_meaning,original_class,facebook_class,valhalla_class,xlm_class,majority_vote
142,DRF4LFE,DIRT ROAD FANATIC FOR LIFE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes
143,POP BOB,MY GRANDCHILDREN CALL ME POP BOB,Diverse Personal Expressions,Personal and Family names,Personal and Family names,Diverse Personal Expressions,Personal and Family names
144,HEL BOND,HELL BOUND,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
145,BK $ MI,BK BLOOD KILLER,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Pet and Animal Themes,Gang Color and Controversial Affiliations
146,DUZ 14S,MY CAR WILL GO 1/4 MILE TRACK IN 14 SECONDS,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
147,HARDCAT,SHOW CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
148,HEL KTN,HELL KITTEN,Pet and Animal Themes,Pet and Animal Themes,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes
149,JIB GIRL,A GIRL WHO SNOWBOARDS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
150,JICE,NICK NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
151,KNKYBRN,UNIVERSITY OF KANSAS AND UNIVERSITY OF KENTUCKY BRAIN,Business and University Identities,Business and University Identities,Business and University Identities,Business and University Identities,Business and University Identities
152,OGSK8ER,OLD SKATER,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
153,TKM2DKM,TAKE ME TO THE TRACK,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
154,TRK4ROD,TRUCK FOR ROD,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
155,3KITTTY 3,"KITTY AS IN CAT, THE NUMBERS MAKE IT THE FIRST AVAILABLE KITTY THAT IS UNUSED.",Pet and Animal Themes,Pet and Animal Themes,Area code and Numbers,Pet and Animal Themes,Pet and Animal Themes
156,3TH,THIS IS MY ONLINE SCREEN NAME WHEN PLAYING VIDEO GAMES,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
157,13HOURS,"13=GANG NUMBER, NO 2013 ON ANI",Vehicle and Car Descriptions and Attributes,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
158,EGM 13,"ELK GROVE MILLING, ONE THREE",Business and University Identities,Area code and Numbers,Area code and Numbers,Pet and Animal Themes,Area code and Numbers
159,OG CAMRY,ORIGINAL CAMRY,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
160,R8OGS,MODEL OF THE MOTORCYCLE (BMW R80G/S),Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
161,ASYLUMM,OUR FAMILY TRAILER IS OUR ASYLUM. THANK  YOU,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
162,HODOR,HO,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions
163,YIFF M3,CYBER SEX,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
164,DABUMZ,BUMZ COULD BE ASS,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Pet and Animal Themes,Gang Color and Controversial Affiliations
165,DENZ 13,MY NAME AND AUTO YEAR,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
166,EN G AY,GAY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
167,GAGRPUR,VILLAGE IN INDIA PUNJAB,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions
168,H1LL YA,ROCK CLIMBING,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
169,JMT8RJL,THE INITIALS OF MY PARENTS.,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
170,JOK BOXX,BOXX,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Area code and Numbers,Gang Color and Controversial Affiliations,Area code and Numbers
171,KAKE MAN,I'M A PASTRY CHEF,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
172,KRPT TKR,I AM A LICENSED FUNERAL DIRECTOR - CRYPT TAKER,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
173,MES RED,RED,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Colors and Descriptive Traits
174,NVR DYE,DYE,Colors and Descriptive Traits,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions
175,RBRN 69,GOING ON RESTORED 1969 GTO,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes
176,SKI2UDI,SKI TILL YOU DIE,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
177,SMKNGUY,I OWN TULARE MEAT LOCKER & SAUSAGE CO  AND I SMOKE MEAT SO I THINK IT WOULD BE A GREAT PLATE SMOKING GUY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
178,SRFRDIE,SURF OR DIE,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Pet and Animal Themes,Gang Color and Controversial Affiliations
179,SSTRIKR,SUPER SPORT AND NICKNAME,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
180,38316VC,OFF ROAD VEHICLE CODE SECTION 38316 CVC,Business and University Identities,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
181,OGPOLAB,OG ORIGINAL GANGSTER,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Gang Color and Controversial Affiliations
182,$CCAKE,CAKE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
183,ZZTUSH,ZZ TOP TRIBUTE BAND WWW.ZZTUSH.COM,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
184,IMNATY2,I'M NASTY TOO. IT'S GOING ON A RAT ROD.,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
185,BLU/SPK,BLUE SPARK,Colors and Descriptive Traits,Diverse Personal Expressions,Diverse Personal Expressions,Colors and Descriptive Traits,Colors and Descriptive Traits
186,*23*RED/,23 RED ON ROULETTE TABLE,Business and University Identities,Colors and Descriptive Traits,Area code and Numbers,Colors and Descriptive Traits,Colors and Descriptive Traits
187,981BLUE/,BLUE 981 PORSCHE CAYMAN,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes
188,95/BLUE/,GRADUATING CLASS OF UNIVERSITY OF MICHIGAN 1995,Business and University Identities,Business and University Identities,Business and University Identities,Diverse Personal Expressions,Business and University Identities
189,RED1986,1986 RED PORSCHE CARRERA,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
190,GR8/SHOT,"GREAT SHOT, SHOOTING, VIOLENCE",Business and University Identities,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Gang Color and Controversial Affiliations
191,BADKTTI,"CAR IS A JAGUAR LIKE A CAT, MEANING IS BAD KITTY",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
192,COQUE75,NO MEANING ON REG 17,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
193,INTO DNB,INTO DRUM N BASS MUSIC,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
194,KST CAT,KANSAS STATE WILDCAT UNIVERSITY,Business and University Identities,Business and University Identities,Business and University Identities,Business and University Identities,Business and University Identities
195,REDTRUC,I AM A FIREFIGHTER AND THIS STANDS FOR THE RED TRUCKS THAT I DRIVE TO KEEP THE PEOPLE THAT I SERVE SAFE.,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
196,SCUMMYY,NICKNAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
197,69 CRGR,1969 DODGE CHARGER,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Gang Color and Controversial Affiliations,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
198,MACSCAT,ITS A JAGUAR (CAT),Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
199,BHNDBRS/,"BEHIND BARS, JAILER FOR LOCAL POLICE DEPT",Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Area code and Numbers,Diverse Personal Expressions
200,MRDEVL*/,NICKNAME FOR MARINES IS DEVIL DOG,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
201,$2B*TNT/,LOVE TO BE TODD & TARA,Diverse Personal Expressions,Personal and Family names,Personal and Family names,Diverse Personal Expressions,Personal and Family names
202,$HERBLF/,HERBALIFE DISTRIBUTOR,Business and University Identities,Pet and Animal Themes,Pet and Animal Themes,Diverse Personal Expressions,Pet and Animal Themes
203,9/9/RED/,80'S SONG,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
204,69/54OSS,1969 CHEVELL SS 540 CUBIC ENGINE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
205,6RETRO9/,1969 RETRO CAMARO,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
206,6D9*AMX/,1969 AMERICAN MOTORS EXPERIMENTAL,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
207,6BLADES/,NAME OF SMALL BIZ/MARTIAL ARTS ACADEMY,Diverse Personal Expressions,Business and University Identities,Business and University Identities,Business and University Identities,Business and University Identities
208,41GRAHM/,1941 HOLLYWOOD GRAHAM AUTO,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
209,H8/KMUTN,HATE COMMUTING,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
210,HODOOOR/,GAME OF THRONES CHARACTER,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
211,NVJUICE/,NAPA VALLEY WINE & JUICE IS A NICKNAME,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
212,PB4YUGO/,"PUG'S NAME IS YUGO, YUGO LIKES THE PACIFIC BEACH",Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
213,PHATKAT/,"LARGE CAT, JAGUAR MODEL IS A TYPE OF CAT",Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
214,/PUCKR/,HARD JEEP OBSTACLE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
215,RAG/1956,1956 CONVERTIBLE CHEVY BEL AIR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Vehicle and Car Descriptions and Attributes
216,RAGE*69/,"1969 RED VW BEETLE, NICKNAME FOR CAR",Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
217,REDPONI/,RED MUSTANG,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
218,RED/TUB*/,RED CAR,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Colors and Descriptive Traits
219,SHEXFST/,FAST CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
