plate,meaning,classification_agglo,cluster_meaning
7MACK,US ARMY VETERAN,0,Vehicle Descriptions and Colors
SUPR TCO,SUPER TACO. COULDNT VERIFY TOYOTA,0,Vehicle Descriptions and Colors
CODE MKY,CODE MONKEY IS A NICKNAME FOR SOFTWARE DEVELOPERS - WHICH I AM.,0,Vehicle Descriptions and Colors
ESKLAID,"HAS A 2015 CADI, PULLED BECAUSE OF THE WAY LAID IS SPELLED, A SEXUAL CONNOTATION",5,Sexual References
7YDP18,18-HITLER,0,Vehicle Descriptions and Colors
3B$CHON,WE OWN 3 BICHON FRISE DOGS. THIS IS NOT A SWEAR WORD.3 BITCHIN,0,Vehicle Descriptions and Colors
78SC911,THE CAR IS A 1978 MODEL YEAR PORSCHE 911 AND IN THAT YEAR IT WAS CALLED A 911SC,1,Edgy Humor and Random Slang
CHP1969,REFERS TO THE YEAR OF MANUFACTURE AND  FORMER AGENCY FOR WHICH THE CAR USED TO SERVE,1,Edgy Humor and Random Slang
FACT5O,"FUCK 5O, POLICE REFERENCE",0,Vehicle Descriptions and Colors
HNTRTRK,HUNTERS TRUCK,1,Edgy Humor and Random Slang
F4OEATR,"MY LAST CAR, AN F40 BIT IT & THIS IS MY REPLACEMENT",1,Edgy Humor and Random Slang
G WULF,IT MEANS GRAY WULF NATIVE AMERCAN NAME.,6,Personal Names and Sentiments
MNT MRDR,PULLDED FOR MRDR = MURDER?,0,Vehicle Descriptions and Colors
OMW7FYB,ON MY WAY FUCK YOU BITCH,0,Vehicle Descriptions and Colors
HH 20,INITIALS AND BIRTHDAY,6,Personal Names and Sentiments
707 OMG,MY CAR HAS 707 HORSEPOWER. SO OH MY GOD JUST EMPHASIZES.,1,Edgy Humor and Random Slang
SNWBNDT,SNOW BANDIT. MEANING I LOVE THE SNOW.,0,Vehicle Descriptions and Colors
MAXATTK,MAXIMUM ATTACK,0,Vehicle Descriptions and Colors
HUMMY,"NICKNAME FOR VEHICLE, WHICH IS A HUMMER H3.",1,Edgy Humor and Random Slang
BSD 88.00,INITIALS OF MY FULL NAME 88 IS GOOD FENG SHUI,6,Personal Names and Sentiments
OHELLNA,OH HELL NO!,0,Vehicle Descriptions and Colors
G TIMES,GOOD TIMES,0,Vehicle Descriptions and Colors
BRAAP88,COMPANY NAME - BRAAP - ITS THE SOUND A MOTORCYCLE MAKES WHEN ITS ON THE THROTTLE. 1988 YEAR OF THE VEHICLE,1,Edgy Humor and Random Slang
GMR BAE,GAMER BABE,0,Vehicle Descriptions and Colors
MSCL 5OH,PULLED FOR 5O,0,Vehicle Descriptions and Colors
5O KLBR,50 CALIBAR-GUNS,0,Vehicle Descriptions and Colors
1KLR67,ONE KILLER MUSTANG 67,1,Edgy Humor and Random Slang
MY FJ14,MY FJ CRUISER 2014,1,Edgy Humor and Random Slang
BRAWL,BRAWLER,0,Vehicle Descriptions and Colors
O8STAR8,DAUGTHER NAME IN MEMORY,2,"Gang, Drugs, and Street Culture"
NOT4U2K,NOT FOR YOU TO KNOW,0,Vehicle Descriptions and Colors
TNT&RDH,DYNOMITE REGISTERED DENTAL HYGIENIST,0,Vehicle Descriptions and Colors
DJ GATO,DJ NAME,6,Personal Names and Sentiments
8BADGER,ATE BADGER,0,Vehicle Descriptions and Colors
KYLSTRK,KYLES TRUCK,1,Edgy Humor and Random Slang
PPSYKAT,PURPLE SILVER CAT PUSSY CAT,0,Vehicle Descriptions and Colors
GNS2REV,GENESIS TO REVELATION,0,Vehicle Descriptions and Colors
67 428HO,67= CAR YEAR 428= ENGINE SIZE HO= HIGH OUTPUT MOTOR,1,Edgy Humor and Random Slang
FUCTRMP,FUCK TRUMP,3,Explicit and Vulgar Language
FDAPOPO,FAMILY PETS NAME,6,Personal Names and Sentiments
JFZME,"MY FIRST INITIAL, MY WIFES FIRST INITIAL, AND THE FIRST INITIALS OF OUR CHILDREN.",6,Personal Names and Sentiments
SECAMDT,"SECOND AMENDMENT SECOND AMENDMENT, GUN REFERENCE",0,Vehicle Descriptions and Colors
$2EAT P,LOVE TO EAT PUSSY,0,Vehicle Descriptions and Colors
IHV2SHT,I HAVE TO SHOOT (BASKETBALL),0,Vehicle Descriptions and Colors
POLIZE1,POLIZE = GERMAN FOR POLICE,2,"Gang, Drugs, and Street Culture"
GANG PAO,THIS IS MY NICKNAME IN CHINESE,6,Personal Names and Sentiments
DAMTGRM,"DAMMIT, PROFANITY",0,Vehicle Descriptions and Colors
ZILL4,LOOKS SIMILAR TO ZILLA WHICH IS A GANG REFERENCE (Has 2015 Dodge Coup),2,"Gang, Drugs, and Street Culture"
NJYABWL,ENJOY A BOWL (MARIJUANA REFERENCE) OR ENJOYABLE,2,"Gang, Drugs, and Street Culture"
HONDO13,NAME AND LUCKY NUMBER,6,Personal Names and Sentiments
DE666VL,MY FAVORITE NUMBERS AND DEV IS MY WIFES NAME. L IS LAST INITIAL,6,Personal Names and Sentiments
T WILLI,Tyler Williams,0,Vehicle Descriptions and Colors
MTF BWM,"MTF MOTHER FUCKER male to female transexual 523 Up, 129 Down",5,Sexual References
13E13 A,"13 (TERA) IN PUNJABI MEANS YOURS. COMPLETE MEANING OF PLATE IS THAT HE ALMIGHTY GOD, ALL IS YOURS",2,"Gang, Drugs, and Street Culture"
BEEZYYY,ANOTHER WORD FOR BITCH,0,Vehicle Descriptions and Colors
NUTS 4RV,ALMOND FARMERS RV,0,Vehicle Descriptions and Colors
INIM OG,GO MINI (BACKWARDS),3,Explicit and Vulgar Language
USA GOV,USA Government,0,Vehicle Descriptions and Colors
HULK818,FAVORITE CARTOON,0,Vehicle Descriptions and Colors
MY1KITT,KNIGHT RIDER SHOW,1,Edgy Humor and Random Slang
DANI 13,NICKNAME AND LUCKY NUMBER,6,Personal Names and Sentiments
S55O FTW,S55O FOR THE WIN,0,Vehicle Descriptions and Colors
KUHNS,"MY LAST NAME, A GIFT FOR MY DAD",6,Personal Names and Sentiments
4 NEG RA,"NEGRA=BLACK, SOME SIMILAR PLATES ARE OUT BUT A COUPLE ARE UNACCEPTABLE",1,Edgy Humor and Random Slang
BLUEVAS,my car is blue and my name is vas,1,Edgy Humor and Random Slang
1MOBMRS,AN AIR FORCE UNIT I WAWS IN AND THE MRS IS FOR MY WIFE,0,Vehicle Descriptions and Colors
LMU13BR,THE UNIVERSITY HE GRADUATED FROM LOYOLA MARYMOUNT,0,Vehicle Descriptions and Colors
AK47 2A,AK 47 GUN,0,Vehicle Descriptions and Colors
STLR714,NOT ON QUICKWEB YET,0,Vehicle Descriptions and Colors
8CHNGON,MY NICKNAME,6,Personal Names and Sentiments
805 TACO,805 IS MY AREA CODE AND TACO IS THE VEHICLE THAT THE PLATE IS GOING ON ITS A TACOMA PICKUP TRUCK,4,Regional Pride and Area Codes
OGOVOLT,MY ELECTRIC CAR,1,Edgy Humor and Random Slang
GSWAGG,IT ALLUDES TO THE NAME OF THE CAR.  (G WAGON),2,"Gang, Drugs, and Street Culture"
86868,GOOD LUCK NUMBERS,6,Personal Names and Sentiments
SCAT2NV,FOR A 2015 DODGE CHALLENGER SCAT PACK TO ENVY,1,Edgy Humor and Random Slang
TRQ*STR/,TORQUE STEER,1,Edgy Humor and Random Slang
BYRNE88,LAST NAME AND YEAR I WAS BORN,6,Personal Names and Sentiments
SPC MKNY,SPACE MONKEY,0,Vehicle Descriptions and Colors
SAMRA 13,MY LAST NAME,6,Personal Names and Sentiments
RUBRITA,RUB RITA,0,Vehicle Descriptions and Colors
EST6T9,YEAR I WAS BORN,6,Personal Names and Sentiments
1WARCAT,ONE WAR CAT,0,Vehicle Descriptions and Colors
CRAAACK,WHEREVER I GO PEOPLE TURN THEIR NECKS TO LOOK AT THE CAR,1,Edgy Humor and Random Slang
RYDETHS,RIDE THIS,0,Vehicle Descriptions and Colors
QUIK 51O,QUICK DATSUN 51O,0,Vehicle Descriptions and Colors
NGRTMSA,NGR STANDS OUT… SPANISH SONG NEGRA TOMASA ABOUT A DARK/BLACK WOMAN. DIDN’T TRANSLATE THE SONG.,1,Edgy Humor and Random Slang
FOREXXX,FOREIGN CURRENCY EXCHANGE (FOREX WAS TAKEN),0,Vehicle Descriptions and Colors
FLINT G,MY NAME,6,Personal Names and Sentiments
CHP NO,"MY CHILDHOOD PETS NAME WAS CHIP, AND I WOULD ALWAYS TELL HIM NO. HE WAS LATER RAN OVER AND NOW THIS IS A MEMORIAL FOIR HIM.",6,Personal Names and Sentiments
ARSLYN,FIRST NAMES,6,Personal Names and Sentiments
BLUBARU,THIS PLATE WILL BE ON A BLUE SUBARU. BLU-BARU,1,Edgy Humor and Random Slang
559RAZA,PEOPLE FROM MY AREA CODE,4,Regional Pride and Area Codes
FKH8ERS,FUCK HATERS,3,Explicit and Vulgar Language
HB RIDIN,HB CAN ALSO MEAN HOT BITCH。 HOT BITCH RIDING,0,Vehicle Descriptions and Colors
ORALE G,IT MEANS WHATS UP GEORGE,2,"Gang, Drugs, and Street Culture"
SUUMB CH,SOME BITCH; SON OF A BITCH,0,Vehicle Descriptions and Colors
BIGPKG,NAME OF MY BUSINESS,6,Personal Names and Sentiments
ON K1LL,"PULLED FOR KILL,  ON KILL WAS DENIED IN 2012",0,Vehicle Descriptions and Colors
BKBETY 3,BLACK BETTY VERSION 3 BLACK IS THE COLOR,1,Edgy Humor and Random Slang
KNFEGUY,I AM A KNIFE COLLECTOR SO I AM A KNIFE GUY,0,Vehicle Descriptions and Colors
INGA TU,I UNDERSTAND,0,Vehicle Descriptions and Colors
TAMA14,SONS NAME,6,Personal Names and Sentiments
1 BLK GUY,IT MEANS 1 BULKY (MUSCULAR) GUY,2,"Gang, Drugs, and Street Culture"
ARY5OH,MY NAME WITH THE CAR I DRIVE,1,Edgy Humor and Random Slang
PITOLCO,PITO IS SPANISH SLANG FOR PENIS,2,"Gang, Drugs, and Street Culture"
DON BH8N,THE PLATE SPELLS OUT DON’T BE HATING. IT’S A JOKE MY BETTER HALF AND I HAVE,2,"Gang, Drugs, and Street Culture"
SMASHRS,SMASH A SEXUALREFERENCE shash her,5,Sexual References
OG AUTO,MY BUSINESS NAME,6,Personal Names and Sentiments
LIVNBCH,LIVE ON BEACH,0,Vehicle Descriptions and Colors
2THEBLU,TO THE OCEAN,0,Vehicle Descriptions and Colors
DUYOUGU,FEELING IN TURKISH LANGUAGE DUYGU,2,"Gang, Drugs, and Street Culture"
$2 RAGE,RAGE AGAINST THE MACHINE IS A BAND THAT I LOVE! ITS ONE OF MY FAVORITES,0,Vehicle Descriptions and Colors
KODA B,LOOKS LIKE KODA BITCH,0,Vehicle Descriptions and Colors
AKNZR88,MY LAST NAME AND LUCKY NUMBERS,6,Personal Names and Sentiments
GO8BLUE,UNIVERSITY OF MICHIGAN FAN!,0,Vehicle Descriptions and Colors
GTHOM88,MISSISSIPPI STATE ALUMNI CHEER AND YEAR GRADUATED,0,Vehicle Descriptions and Colors
SPTHLK,SPECIAL K IS A SLANG WORD FOR A TYPE OF DRUG,2,"Gang, Drugs, and Street Culture"
JABRONY,JABRONI - A PRO WRESTLER THAT LOSES ON PURPOSE TO MAKE THE OTHER WRESTLER LOOK GOOD,2,"Gang, Drugs, and Street Culture"
NGKA PLZ,NIGGA PLEASE,0,Vehicle Descriptions and Colors
559MADE,BORN IN FRESNO 559 AREA CODE,4,Regional Pride and Area Codes
POGIBLZ,"pogi=handsome in Tagalog, looks like pogi balls though…",2,"Gang, Drugs, and Street Culture"
SRF NAKD,PULLED FOR NAKED,0,Vehicle Descriptions and Colors
KCKRZ23,SHOES,0,Vehicle Descriptions and Colors
SHIV OO7,"SHIV IS NAME OF OUR SON, AND 007 IS REFERED TO JAMES BOND.",6,Personal Names and Sentiments
RETRO AF,RETRO AS FUCK,3,Explicit and Vulgar Language
IMPS 213,IM POSITIVE 2 1 THING,0,Vehicle Descriptions and Colors
SVR ARRW,SILVER ARROW,0,Vehicle Descriptions and Colors
DRNX PNK,I DRINK A DRINK CALLED SLIM AND ITS PINK,0,Vehicle Descriptions and Colors
K16 K08,MY SON AND DAUGHTERS INITIAL WITH THE YEAR THEY WERE BORN,6,Personal Names and Sentiments
FJU ALL,"MODEL OF THE VEHICLE, TO HAVE FUN WITH MY FAMILY",1,Edgy Humor and Random Slang
GAY,"Homosexual, gay",0,Vehicle Descriptions and Colors
O71829P,"07,18 AND 29 ARE THE BIRTHDATES AND P WILL BE THE FIRST LETTER OF OUR LAST NAME",6,Personal Names and Sentiments
BLUSCRZ,I LOVE LISTENING TO THE BLUES WHILE IM RIDING THE MOTORCYCLE.,0,Vehicle Descriptions and Colors
BLESS69,BLESS BY THE LORD 69 TIMES,0,Vehicle Descriptions and Colors
MI6 SPY,JAMES BOND,0,Vehicle Descriptions and Colors
ONEAKA,ONEAKA CAN SOUND LIKE OH NIGGA OR OH NICCA,0,Vehicle Descriptions and Colors
INDICA,CLASSICAL GREEK AND LATIN FOR OF INDIA,0,Vehicle Descriptions and Colors
IWANTSX,I WANT SEX,5,Sexual References
AMP EATR,ELECTRIC VEHICLE EATS AMPS FOR POWER.,1,Edgy Humor and Random Slang
TT LTD,AUTO IS AN AUDI TT LIMITED EDITION,1,Edgy Humor and Random Slang
DAM WGN,MY INITIALS-,6,Personal Names and Sentiments
SHAYDUB,"MY FIRST NAME SHORTENED, AND INITIAL OF MY LAST. SHAY W",6,Personal Names and Sentiments
OPNWIDE,open wide,0,Vehicle Descriptions and Colors
BFD E 51,IT WAS THE DEPARTMENT I VOLUNTEERED FOR IN NH.,0,Vehicle Descriptions and Colors
AMG13,INITIALS + NUMBER,6,Personal Names and Sentiments
ALCHAPO,EL CHAPO,0,Vehicle Descriptions and Colors
14U269,"ONE FOR YOU TO 1969 69, SEXUAL REFERENCE",1,Edgy Humor and Random Slang
GATUR6,A COMMON MILITARY TERM MEANING: I GOT  YOUR BACK,0,Vehicle Descriptions and Colors
GONNER,GONNERS CAR CLUB MEMBER,1,Edgy Humor and Random Slang
JYAG18,FAMILY FIRST INITIAL AND LUCKY NUMBER,6,Personal Names and Sentiments
STANG13,MUSTANG GT 2013,1,Edgy Humor and Random Slang
AMG BS,MODEL NAME OF VEHICLE,1,Edgy Humor and Random Slang
PNK 8NGL,PINK ALNG FOR VAGINA,5,Sexual References
NEGRA 14,"BLACK TRUCK, YEAR 2014",1,Edgy Humor and Random Slang
BUDDY14,NICKNAME,6,Personal Names and Sentiments
NEGRA69,BLACK 69. ITS GOING ON AN ALL BLACK 1969 CHEVELLE.,1,Edgy Humor and Random Slang
FU GREEN,FU (CHINESE SURNAME) GREEN,0,Vehicle Descriptions and Colors
DGR515O,MY INITIALS AND PERSONALITY,6,Personal Names and Sentiments
69CNCPT,1969 PONTIAC GTO CONCEPT CAR,1,Edgy Humor and Random Slang
SICK ASF,SUICK AS FUCK,0,Vehicle Descriptions and Colors
R8ED R,"THIS IS FOR A VOLKSWAGEN GOLF R, HUMOROUS PLAY ON MOVIE RATING - RATED R",1,Edgy Humor and Random Slang
9O9 GT5O,AREA CODE OF CAR LOCATION AND MODEL OF THE CAR,4,Regional Pride and Area Codes
IN666US,WEDDING ANNIVERSARY,6,Personal Names and Sentiments
$NPLANB,LOVING PLAN B,5,Sexual References
CHAPO15,"CHAPO TRANSLATE TO SHORT WHERE IM FROM,  IM SHORT AND THEY CALL ME CHAPO",0,Vehicle Descriptions and Colors
SLAYYYR,"THIS PLATE IS A TRIBUTE TO MY FAVORITE ROCK BAND, SLAYER. EXTENDED SPELLING REPRESENTS THE WAY FANS GREET THE BAND AT CONCERTS.",2,"Gang, Drugs, and Street Culture"
8O5PASO,AREA CODE AND PASO ROBLES,4,Regional Pride and Area Codes
WYU H8NN,WHY YOU HATING?,3,Explicit and Vulgar Language
TANQUE,TANK AS IN ARMY,0,Vehicle Descriptions and Colors
MR PSI,LOOKS LIKE A SEXUAL REFERENCE,5,Sexual References
BLAQ BOX,BLACK BOX,0,Vehicle Descriptions and Colors
YNWA RED,YOULL NEVER WALK ALONE IS ASSOCIATED WITH LIVERPOOL FOOTBALL CLUB. RED IS THE COLOR OF THEIR JERSEY,0,Vehicle Descriptions and Colors
WUDLIMO,WOOD LIMO GOING TO BE PUT ON A TRUCK USED FOR HAULING FIREWOOD.,1,Edgy Humor and Random Slang
TT 4 MNT,AUDI TT FOR MIKE AND TINA,1,Edgy Humor and Random Slang
EJ2OG,SUBARU MOTOR NUMBER,1,Edgy Humor and Random Slang
WUACHAA,ITS A SLANG WORD FOR LOOK CUSTOMER MEANING IS TRUE(FROM ENGLISH WORD WATCH) BUT IN ARGENTINA IT IS USED (GUACHA) LIKE BASTARD . WUACHA HAS BEEN OUT SINCE 2006,2,"Gang, Drugs, and Street Culture"
C8H18 X,CHEMICAL COMPOSITION OF OCTANE,0,Vehicle Descriptions and Colors
PROFANE,CALL SIGN,0,Vehicle Descriptions and Colors
BLKHMR,BLACK HAMMER (NICKNAME),1,Edgy Humor and Random Slang
CAVERAO,means skull in Portuguese (which is slang for oral sex in English) also means Special Police Armored Vehicle in Brazil,2,"Gang, Drugs, and Street Culture"
PIE ASO,COMBINING THE TWO CREATES THE SOUND OF MY NICKNAME THAT IS PAYASO WHICH MEANS CLOWN IN SPANISH AND IS TAKEN ALREADY,6,Personal Names and Sentiments
FYREPIG,"OWNER OF FIREPIG TACTICAL, LLC A SPECIALTY SPORTING GOODS RETAILER",6,Personal Names and Sentiments
3BTCHES,LOOKS LIKE 3 BITCHES,0,Vehicle Descriptions and Colors
SEPPUKU,ITS THE TRADITIONAL DEATH OF A SAMURI IN JAPANESE CULTURE,2,"Gang, Drugs, and Street Culture"
DGRS 13,DODGERS 13,0,Vehicle Descriptions and Colors
OG HCAT,ORIGINAL HELLCAT,0,Vehicle Descriptions and Colors
BLAK 911,BLACK PORSCHE 911,1,Edgy Humor and Random Slang
L8R 5 O, LATER POLICE,0,Vehicle Descriptions and Colors
CRM PIE,CREAM PIE,0,Vehicle Descriptions and Colors
8O5HNTR,SANTA BARBARA HUNTER,0,Vehicle Descriptions and Colors
A113FNS,A113 IS A INSIDE MOVIE JOKE OR EASTER EGG FOR AUDIENCES TO FIND IN PIXAR MOVIES SO THE PLATE MEANS PIXAR FANS,2,"Gang, Drugs, and Street Culture"
OH GIZZ,ARMY UNIT/NAME,0,Vehicle Descriptions and Colors
STLRS 18,FAVORITE FOOTBALL TEAM,0,Vehicle Descriptions and Colors
69 CRGR,1969 DODGE CHARGER,1,Edgy Humor and Random Slang
HDL BOSS,HUSBANDS BUSSINES NAME IS HDL TRANSPORT AND BOSS FOR OWNER,6,Personal Names and Sentiments
SWT INDO,MY ETHNICITY IS DUTCH INDONESIAN...IT IS SHORT FOR SWEET INDONESIAN,2,"Gang, Drugs, and Street Culture"
CUBBLUE,CHICAGO CUBS COLOR BLUE,1,Edgy Humor and Random Slang
TECH9RT,ITS THE BAND TECH 9 AND MODEL OF THE CAR,1,Edgy Humor and Random Slang
$SMYCAT,MY DAUGHTER LOVES HER CAT. SHE ALSO LOVES HER DOG BUT THAT WAS NOT AVAILABLE.,0,Vehicle Descriptions and Colors
BBW4G$D,BIG BEAUTIFUL WOMAN FOR GOD,0,Vehicle Descriptions and Colors
HLNAUSS,IM HAULING AUSS (AN AUSTRALIAN SHEPHERD- MY DOGS BREED),0,Vehicle Descriptions and Colors
UBSALTY,SALTY IS A FUNNY WAY OF SAYING THEYRE KIND OF UPSET AND I CHOSE THIS PLATE BECAUSE PEOPLE ARE ALWAYS SURPRISED ABOUT HOW YOUNG I AM AND THE CAR I HAVE,0,Vehicle Descriptions and Colors
BGHRM88,BIG HERMAN (WHICH IS ME) 88 IS LUCKY CHINESE NUMBER,6,Personal Names and Sentiments
H BULLYS,"H FOR MY LAST NAME HIDALGO, BULLYS MY FAVORITE DOG BREED",6,Personal Names and Sentiments
HEMI 831,HEMI V8 AND MY LOCAL AREA CODE,4,Regional Pride and Area Codes
I 707 I,707 HORSE POWER,1,Edgy Humor and Random Slang
JAF AMF,OWNERS INITIALS,6,Personal Names and Sentiments
BGD W211,AIRMATIC AND MERCEDES BENZ MODEL NUMBER,1,Edgy Humor and Random Slang
BRTHJKY,BIRTH JUNKY MEANS I LOVE BIRTH,0,Vehicle Descriptions and Colors
IMTRIPN,I AM TRIPPING,0,Vehicle Descriptions and Colors
HII H8TR,HI Hitlier,0,Vehicle Descriptions and Colors
WYERD SS,MY LAST NAME IS WYER.(WYER) I GO BY MY MIDDLE NAME DIANE.(D) THE CAR IS A CAMARO SUPER SPORT.(SS),1,Edgy Humor and Random Slang
14SSLS3,MY CAR IS A 2014 CHEVY SS WITH AN LS3 ENGINE.,1,Edgy Humor and Random Slang
