plate,customer_meaning,original_class,facebook_class,valhalla_class,xlm_class,majority_vote
17O7CAT,DODGE CHALLENGER WITH A 707 HORSE POWER HELLCAT MOTOR,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
$GUIDOO,DEROGATORY TERM FOR ITALIANS,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BUZZ 25,BUZZ IS MY DOG. 25 IS MY LUCKY NUIMEBR,Area code and Numbers,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
PLAZURE,PLEASURE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BAIK DOW,BACK DOOR.. CUSTOMER LAST NAME IS BAIK.. BACK DOOR COULD BE A SEXUAL REFERENCE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
JP QQ,MY INITIALS OF MY NAME AND LAST NAME JUAN PABLO QUEZADA QUEZADA,Personal and Family names,Personal and Family names,Diverse Personal Expressions,Personal and Family names,Personal and Family names
SIT LORD,STAR WARS FIG,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
STPLGUN,SONG TITLE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
13 1LE,THE CAR THIS IS GOING ON IS A 2013 CAMARO WITH THE 1LE OPTION CODE.,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes
5 O CALI,ENGINE SIZE AND STATE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
5 OHH,"THE CAR IS A 5 LITER V8, 5OH STANDS FOR THAT",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
BLUE Z28,BLUE,Colors and Descriptive Traits,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Colors and Descriptive Traits
BLUKOLR,NAME OF COMPANY. BLUE KOLLAR MOTORSPORTS,Business and University Identities,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Colors and Descriptive Traits
FACNBDY,FACE BODY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
HELLA 90,ANOTHER WORD MEANINS A LOT A WHOLE HELL OF A LOT,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
NVW3N17,"IT SAYS ""LINEMAN"" UPSIDE DOWN. I AM A JOURNEYMAN ELECTRIC LINEMAN.",Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
88 DGRS,1988 DODGERS,Business and University Identities,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Pet and Animal Themes,Gang Color and Controversial Affiliations
HELL4US,IT IS FOR OUR NEW CAR A DODGE HELLCAT.,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
MYPIGLT,A PIGLET,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Colors and Descriptive Traits,Diverse Personal Expressions
GO NRA,GO NATIONAL RIFLE ASSOICATION,Business and University Identities,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Area code and Numbers,Business and University Identities
DIRTY ST,BLACK CAR (FOCUS ST) WILL ALWAYS BE DIRTY,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
DTSU510,510 AREA CODE,Business and University Identities,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
LAGUNA C,REFERENCE TO LAGUNA BEACH,Business and University Identities,Gang Color and Controversial Affiliations,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions
LOCO PRO,ITS THE NAME OF MY PET,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
LOKO 1O5,LOCO AS IN CRAZY,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
SEXEBST,NICKNAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1L BRED,CLOTHING BRAND COMPANY NAME,Business and University Identities,Pet and Animal Themes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Business and University Identities
64 CHATA,FLAT NOSE,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions
911S G,THE MODEL OF MY CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
LUCIFR1,LUCIFER  THE DEVIL,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
HLOSWET,"HELLO, SWEETIE",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
LGLYRED,AM A RED-HEADED ATTORNEY,Colors and Descriptive Traits,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
SYLSPTC,SEPTIC .. NOT SURE WHAT THIS IS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BC BLU,"BEYOND CONNECT-OUR COMPANY AND ""BLU"" OUR FIRST PROJECT FOR THE COMPANY",Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Colors and Descriptive Traits,Diverse Personal Expressions
SMPL DC5,SIMPLE ACURA RSX. DC5 IS CHASSIS CODE FOR ACURA RSX,Business and University Identities,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
E 88 JR,DALE EARNHARDT JR,Vehicle and Car Descriptions and Attributes,Personal and Family names,Diverse Personal Expressions,Area code and Numbers,Personal and Family names
GO 88JR,"GO DALE EARNHART JR, NASCAR #88",Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions
S14 NEO,CHASS CODE OF VEHICLE,Business and University Identities,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
USC 14,GRADUATED FROM UNIVERSITY OF SOUTHERN CALIFORNIA CLASS OF 2014,Business and University Identities,Business and University Identities,Business and University Identities,Diverse Personal Expressions,Business and University Identities
DIRTYG8,NICKNAME AND MODEL OF CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
MR RED,"CAR'S NAME, RED MUSTANG, NAMED AFTER MR ED.",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
OVRLD4O,OVERLAND FJ40 (LAND CRUISER MODEL),Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes
PIOJO,SOCCE PLAYER NAME AND NUMBER FOR MY DAUTHER MANE,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
UFGR8OT,ACRONYM FOR YOU FIGURE IT OUT,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
$REDHD,RED HEAD,Colors and Descriptive Traits,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Colors and Descriptive Traits
YLPA 666,SAFE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
NOTTYPB,TYPE A,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
REDMZA1,MOTORCYCLE NICKNAME,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
CK RELTR,CK-COCK? IT IS HER INTIALS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
BIGHIPS,I'M PUTTING IT ON A CHEVY DUALLY WHICH HAS A WIDE REAR END WITH 4 WHEELS,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
EVILC,MY FIRST GIVEN NAME IS (CLIVE) IN REVERSE ALSO MY DJ NAME,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
F ROUX,FRANCOIS ROUX VINEYARDS,Business and University Identities,Area code and Numbers,Area code and Numbers,Diverse Personal Expressions,Area code and Numbers
CRZN5OH,CRUZ IS MY LAST NAME AND I DRIVE A5.0 MUSTANG,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Personal and Family names,Vehicle and Car Descriptions and Attributes
HELLFOX,HELL,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
ALTAHOL,ADDICTED TO SKIING AT ALTA,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BERIBLK,MY CAR'S JET BLACK. BERI IS A PLAY ON VERY.,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes
BLU TEC,BLUETEC DIESEL MERCEDES,Colors and Descriptive Traits,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,
BOOTZ13,MY NICKNAME IS BOOTZ. MY VEHICLE IS A 2013.,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
DREDBOX,THE RED BOX,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
FATGURL,SIZE OF CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
GBTDUDE,MY SOCIAL MEDIA NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
GSNOWDN,MY NAME IS GREG SNOWDEN,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
JAHSATN,PERSONAL NICKNAME,Personal and Family names,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names
REDFLAG,"THE CAR IS RED, OLD AND FUNKY. IT STICKS OUT LIKE A RED FLAG.",Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
REDHOT2,RED HOT TWO,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Pet and Animal Themes,Gang Color and Controversial Affiliations
RED MOUS,RED MOUSE,Colors and Descriptive Traits,Pet and Animal Themes,Gang Color and Controversial Affiliations,Pet and Animal Themes,Pet and Animal Themes
RED RBL,RED REBEL,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations
TINEF,EINSTEIN'S SAILING BOAT,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Diverse Personal Expressions
V2STREO,SPANISH ROCK BAND,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions
1RED RAZ,RED RASPBERRIES,Colors and Descriptive Traits,Pet and Animal Themes,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Colors and Descriptive Traits
I$TCHNG,I LOVE TEACHING,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
LUCKYO2,LUCKY TO HAVE THIS VEHICLE,Business and University Identities,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
RNGER,RANGER,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Gang Color and Controversial Affiliations
ASEWERG,I'M A PLUMBER,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BLU4DGR,BLUE FOR DODGER,Colors and Descriptive Traits,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Pet and Animal Themes,Colors and Descriptive Traits
LTLBLUE,CAR COLOR,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
SXTRELL,CHALLENGER SXT MY NAME IS RELL,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
