plate,customer_meaning,cluster_label,cluster_meaning
TIR SMKR,TIRE SMOKER,3,Diverse Personal Expressions
XBRAAPX,SOUND MY ENGINE MAKES.,2,Vehicle and Car Descriptions and Attributes
2NMXCA8,NM ARE MY INITIALS. CA FOR CALIFORNIA AND 28 IS MY LUCKY NUMBER,4,Area code and Numbers
MAX KAT,JAGUAR BELONGS TO MAX,2,Vehicle and Car Descriptions and Attributes
SX SX 6,FAVORITE NUMBER,4,Area code and Numbers
6 SX SX,FAVORITE NUMBER,4,Area code and Numbers
BHRSTIN,CHRISTIN WITH A B SOME GANG MEMEBERS SUB WITH A B IF THEY ARE BLOODS,3,Diverse Personal Expressions
CHRL HUS,no meaning,3,Diverse Personal Expressions
COPIL8T,CO PILOT,1,Business and University Identities
OMNIUM8,A FICTIONAL SOURCE OF LIFE ENERGY. FROM A NOVEL.,3,Diverse Personal Expressions
RKR8DJK,CAN NOT TRANSLATE,3,Diverse Personal Expressions
THAT BBY,THAT A BABY,3,Diverse Personal Expressions
TINKS 14,14 GANG REFRENCE,5,Gang Color and Controversial Affiliations
TRXIRXN,"NICKNAME GIVEN BY MY GRANDFATHER, TRIXIEROXANNE",0,Personal and Family names
83SC911,PORSCHE 1983 911 SC,2,Vehicle and Car Descriptions and Attributes
LOVED$G,LOVE DOG,3,Diverse Personal Expressions
CAT KDZ,CAT KIDS (WE HAVE NO CHILDREN - OUR CATS ARE OUR CHILDREN,6,Pet and Animal Themes
REDNUFF,CAR IS REALLY RED,7,Colors and Descriptive Traits
BEA2K14,BOBBY ELLEN APOLINARIO 2014,2,Vehicle and Car Descriptions and Attributes
BJCA664,BAJA CALIFORNA 664 THE AREA CODE OF MY STATE TIJUANA,1,Business and University Identities
BRDMN41,A BIRD MAN BORN IN 1941. I WAS AN AIR FORCE COMBAT PILOT AND RACING HOMING PIGEON FANCIER.,1,Business and University Identities
CALLRED,FIRST INITIAL AND LAST NAME,0,Personal and Family names
CAT LIFT,CAT TRANSPORTATION,6,Pet and Animal Themes
CB RIDER,COWBOYS FAN,1,Business and University Identities
DEL B 1,DEL BONDIO 1,3,Diverse Personal Expressions
DM123AK,DMITRY MARIA ALENA KATERINA,3,Diverse Personal Expressions
DNA FLY,INTERNET GAMING HANDLES OF MY WIFE AND I.,3,Diverse Personal Expressions
DREDFUL,THIS IS THE NAME OF MY FAVORITE TELEVISION SHOW. PENNY DREADFUL. THE PENNY WOULD NOT FIT. I AM PASSIONATE ABOUT THE SHOW. THE NUMBER 1 FAN PERHAPS.,7,Colors and Descriptive Traits
GYACK M4,"FIRST INITIAL, LAST NAME, CAR MODEL",2,Vehicle and Car Descriptions and Attributes
HIGHWND,CHARACTER NAME FROM FINAL FANTASY VIDEO GAME FRANCHISE.,3,Diverse Personal Expressions
HI28OZX,HELLO,3,Diverse Personal Expressions
JESS913,MY NAME AND BIRTHDAY,4,Area code and Numbers
JMPGC69,FAMILY LOGO,0,Personal and Family names
KING BRA,IT'S A 2014 SHELBY COBRA AND IT IS KING.,2,Vehicle and Car Descriptions and Attributes
MRQ9999,MR QUOC 9999,3,Diverse Personal Expressions
N52S43J,MY FIRST NAME INTIALS AND MY FOOTBALL NUMBER US 52 AND LAST NAME STARTS WITH AN S AND MY OTHER FOOTBALL NUMBER WAS 43,0,Personal and Family names
ORNARY,ORNARY,3,Diverse Personal Expressions
STOK5OH,NOTHINH DONE TO THE CAR,2,Vehicle and Car Descriptions and Attributes
T D B,NAME OF MY AUTO SHOP TDBCUSTOMS.COM,1,Business and University Identities
TERRBLT,TERRIBLE T,3,Diverse Personal Expressions
1SIC CAT,ONE SICK CAT,6,Pet and Animal Themes
14COM55,"CAR'S MODEL YEAR, CAMARO, MY INITIALS ,YEAR I WAS BORN.",2,Vehicle and Car Descriptions and Attributes
14MIATA,2014 MAZDA MIATA,2,Vehicle and Car Descriptions and Attributes
18-Jul-16,WEDDING DATE,4,Area code and Numbers
2X TRBL,BECAUSE ITS A BIG DUALLY TRUCK,2,Vehicle and Car Descriptions and Attributes
ZEES TT,ZENA'S AUDI TT,2,Vehicle and Car Descriptions and Attributes
LVDEBCH,LOVE THE BEACH,1,Business and University Identities
FISH WTR,song title,3,Diverse Personal Expressions
RNCH RKT,RANCH ROCKET,2,Vehicle and Car Descriptions and Attributes
HYE RLLN,HIGH ROLLIN,1,Business and University Identities
RAD BAGS,nice motorcycle with saddle bags,2,Vehicle and Car Descriptions and Attributes
7 FAT BOY,model,2,Vehicle and Car Descriptions and Attributes
DOS CATS,2 cats,6,Pet and Animal Themes
BBPEST,BODEGA BAY RESIDENT,3,Diverse Personal Expressions
GDEADHD,FAN OF GRATEFUL DEAD,3,Diverse Personal Expressions
GNJWIN,GEORGE AND JONI WIN,3,Diverse Personal Expressions
GROOVYJ,"J COULD STAND FOR JOINT, GROOVY JOINT",3,Diverse Personal Expressions
JOHN114,THE WORD WAS MADE FLESH,3,Diverse Personal Expressions
MRWM4T,"MR WILL MODEL FOR TOYS, SOUNDS SEXUAL",3,Diverse Personal Expressions
NDFBALL,NOTRE DAME FOOTBALL,1,Business and University Identities
NSMO51O,THE PLATE CORRESPONDS TO MY CAR'S MODEL  TRIM AND THE PRODUCTION NUMBER.,2,Vehicle and Car Descriptions and Attributes
O1JAN14*,"14, GANG REFERENCE",5,Gang Color and Controversial Affiliations
SPCBAL2,IT'S A CONTINUATION OF THE STARSHIP NAME  SPACEBALL 1 FROM THE MOVIE SPACEBALLS.,3,Diverse Personal Expressions
VBAL4LF,VOLLEYBALL FOR LIFE,3,Diverse Personal Expressions
WCS2O14,WEST COAST SWING 2014,1,Business and University Identities
W8882J,(W)THE FIRST LETTER OF MY NAME (88) YEAR OF BIRTHDAY (82) WIFE'S YEAR OF BIRTHDAY,4,Area code and Numbers
YOTHERE,"YOU, HOSTILE",3,Diverse Personal Expressions
1REDWGN,TO GO ON MY RED FORD EXPLORER (WAGON).,2,Vehicle and Car Descriptions and Attributes
1518SAP,BADGE NUMBER,1,Business and University Identities
9OOO,"4# PLATE , HAVE ALSO ORDERED 7001",2,Vehicle and Car Descriptions and Attributes
HEIDYHO,"HO, INAPPROPRIATE",3,Diverse Personal Expressions
NVRLOVD,NEVER LOVED,3,Diverse Personal Expressions
YOULIVE,YOU LIVE,3,Diverse Personal Expressions
LVCLBCH,LOVE SEAL BEACH,1,Business and University Identities
MIPEARL,"MY CAR IS AS WHITE AS A PEARL. I NICKNAMED  THE CAR ""PEARL""! PEARL IS MY CAR.",2,Vehicle and Car Descriptions and Attributes
AXLDC,AXL ROSE WITH ACDC,1,Business and University Identities
BLUGRAS,BLUEGRASS (AS IN BLUEGRASS MUSIC),3,Diverse Personal Expressions
CDRED67,CODE RED 67. THE NAME OF MY CARS  INSTAGRAM ACCOUNT. @CODERED_67,7,Colors and Descriptive Traits
DUBSOX,FAN OF CHICAGO WHITE SOX,1,Business and University Identities
FUSSY73,NICK NAME,0,Personal and Family names
GBAPUG,"G, GANG REFERENCE",5,Gang Color and Controversial Affiliations
JUNEBLU,MY NAME,0,Personal and Family names
KATVAL,MY DAUGHTERS NAMES,0,Personal and Family names
REDDESS,MOST RED,7,Colors and Descriptive Traits
REDSMBL,"RED, GANG REFERENCE",5,Gang Color and Controversial Affiliations
SUPRB69,1969 SUPER BEE,3,Diverse Personal Expressions
TONZ69,TONY'S 1969 CAMARO,2,Vehicle and Car Descriptions and Attributes
TURBOGS,THE CAR IS A BUICK REGAL GS,2,Vehicle and Car Descriptions and Attributes
2236,"FAVORITE NUMBERS TOGETHER, NO ADDITIONAL MEANING",4,Area code and Numbers
CATWHO,"CAT, SEXUAL REFERENCE",3,Diverse Personal Expressions
PASTA4U,"YOU, HOSTILE",3,Diverse Personal Expressions
SHELSSS,ABBREVIATED NAME: SHELLIE'S SUPER SPORT  VEHICLE,2,Vehicle and Car Descriptions and Attributes
CHAPI19,CAR NAME,2,Vehicle and Car Descriptions and Attributes
CHENTE9,CAR NAME,2,Vehicle and Car Descriptions and Attributes
JP4 PLAY,JEEP FOR PLAY,2,Vehicle and Car Descriptions and Attributes
K14PONY,2014 MUSTANG,2,Vehicle and Car Descriptions and Attributes
REDSRED,REDS HEAD RED VEHICLE,7,Colors and Descriptive Traits
YO HEFE,I BOSS,3,Diverse Personal Expressions
C$TLADI,CAT LADY,6,Pet and Animal Themes
BE RED,THE COLOR OF MY CAR,7,Colors and Descriptive Traits
ASWNAVY,ANTI SUBMARINE WARFARE NAVY,1,Business and University Identities
BECH LIF,BEACH LIFE,1,Business and University Identities
LTENCHA,WIFE'S NICKNAME,3,Diverse Personal Expressions
CCS9999,FAMILY NAME INITIALS AND GOOD LUCK,0,Personal and Family names
CSIDE64,SEASIDE CA 1964,1,Business and University Identities
CUZ GOD,RELIGION,3,Diverse Personal Expressions
DE666VL,MY FAVORITE NUMBERS AND DEV IS MY WIFES NAME. L IS LAST INITIAL,4,Area code and Numbers
JHO RAN,PULLED FOR HO,1,Business and University Identities
MP HOAH,MILITARY POLICE HOAH,1,Business and University Identities
RAN JHO,NAME OF HUSBAND AND WIFE,3,Diverse Personal Expressions
ROLL 69,69 ' ROLLS ROYCE,4,Area code and Numbers
RVSDCAT,RIVERSIDE CAT,6,Pet and Animal Themes
SONKO,SWAHILI SLANG FOR LEADER OR BOSS,3,Diverse Personal Expressions
LY KBOSS,LIKE A BOSS,3,Diverse Personal Expressions
A 666,CODE A WITH 666,4,Area code and Numbers
ERNGBRA,"ERIN GO BRAGH WHICH MEANS ""IRELAND FOREVER""",3,Diverse Personal Expressions
IL HEFE,THE BOSS,3,Diverse Personal Expressions
LUV MUVI,LOVE MUJI (MY CAT) AND VIVI (MY DAUGHTER),6,Pet and Animal Themes
NAVY FMF,I SERVED IN THE NAVY IN THE FLEET MARINE FORCE FMF,1,Business and University Identities
NORIRED,NICOLE MARIE NORI IS NICK NAME FOR NICOLE MARIE - RED IS MY FAV COLOR,3,Diverse Personal Expressions
NOT4DS,LOOKS LIKE NOT FOR ROADS AND LOOKS LIKE NO TARDS,2,Vehicle and Car Descriptions and Attributes
OC 911T,MY NAME AND THE MODEL NAME OF MY CAR,2,Vehicle and Car Descriptions and Attributes
PGPNTER,PAINTING CONTRACTOR,3,Diverse Personal Expressions
QUIKKAT,QUICK CAT,6,Pet and Animal Themes
ROB PAL,ABBREVIATION FOR ROBERTO PALACIOS,3,Diverse Personal Expressions
U WATT M8,"BRITISH EXPRESSION, SHORT FOR: WHAT DO YOU MEAN MY FRIEND? WILL BE GOING ON AN ELECTRIC CAR - HENCE THE WATT PUN. WATT IS THE SI UNIT FOR POWER.",2,Vehicle and Car Descriptions and Attributes
WIKDCAT,WICKED CAT. THE CAR IS A DODGE CHALLENGER HELLCAT. THANKS,2,Vehicle and Car Descriptions and Attributes
17 H CAT,LAST TWO DIGETS OF MODEL YEAR AND ABREVIATED LETTERS OF VEHICLE MODEL HELLCAT,2,Vehicle and Car Descriptions and Attributes
55P PTWN,THE CAR IS A 1978 MODEL YEAR PORSCHE 911 AND IN THAT YEAR IT WAS CALLED A 911SC,2,Vehicle and Car Descriptions and Attributes
78SC911,THE CAR IS A 1978 MODEL YEAR PORSCHE 911 AND IN THAT YEAR IT WAS CALLED A 911SC,2,Vehicle and Car Descriptions and Attributes
BLUE ZEN,BLUE ZEN ( PEACE AND TRANQUILITY?,3,Diverse Personal Expressions
BLU7PRL,SPIRITUAL WISDOM,3,Diverse Personal Expressions
CLVR BLU,"CLEVER BLUE, MASHUP OF VELOSIRAPTOR NAME AND QUOTE FROM JURASSIC PARK MOVIES",3,Diverse Personal Expressions
DYRSBLU,DODGERS BLUE,1,Business and University Identities
REDJEWL,CAR COLOR,7,Colors and Descriptive Traits
REDVLK8,I BAKE RED VELVET CAKES,3,Diverse Personal Expressions
BLUER,I WANT THE OCEANS TO STAY BLUE AND MY CAR IS BLUE,7,Colors and Descriptive Traits
STIQ,stick,3,Diverse Personal Expressions
B 66 S,"B.S. =BULLSHIT, CUSTOMERS BERNARD AND SANDRA",3,Diverse Personal Expressions
EL PEINE,NICKNAME,0,Personal and Family names
HGOKAT1,MY NAME AND WIFE'S NAME,3,Diverse Personal Expressions
KONE YO,NICK NAME,0,Personal and Family names
KRWD KTL,"THE PLATE IS FOR A MUSTANG AND IT STANDS FOR ""CROWD CONTROL"" WHICH CORRELATES WITH AN ON GOING MUSTANG JOKE",2,Vehicle and Car Descriptions and Attributes
LAK8RS,LA LAKERS,1,Business and University Identities
LOWRNGR,"LOW RANGER , FOR OFF ROAD LOW RANGE GEARING",2,Vehicle and Car Descriptions and Attributes
MUDDYZ U,SHORT FOR MUDDY UNDERS,3,Diverse Personal Expressions
MY3RD RT,THIS IS THE THIRD CHARGER R/T I HAVE OWNED,2,Vehicle and Car Descriptions and Attributes
OJ SIMP,GOOD LUCK,1,Business and University Identities
SNGERAS,LAST NAME,0,Personal and Family names
TA CHIVO,IT'S COOL,3,Diverse Personal Expressions
THE SET,NAME OF BUSINESS I OWN,1,Business and University Identities
82 WPB,82 FOOT US COAST GUARD PATROL BOAT,3,Diverse Personal Expressions
BLUQT 2,BLUE CUTIE NO. 2,7,Colors and Descriptive Traits
CYNCATS,CANYON CATS,6,Pet and Animal Themes
I AM CAT,I AM CAT,6,Pet and Animal Themes
JHISNCH,JANA H. IS IN CHARGE,3,Diverse Personal Expressions
BLIND W,HUSBANDS STAGE NAME BLIND WILLIE,3,Diverse Personal Expressions
BTTL 69,CAR/VLKSW,2,Vehicle and Car Descriptions and Attributes
BV221DV,SFPD STAR NUMBER,1,Business and University Identities
CRPSHOW,CREEPSHOW,3,Diverse Personal Expressions
EV288,FIRST INITIAL LUCKY NUMBER,4,Area code and Numbers
HARVY LE,HARVEY LEE,3,Diverse Personal Expressions
HIGH K5,I HAVE A LIFTED BLAZER K5.,2,Vehicle and Car Descriptions and Attributes
HLLNHLS,"FAVORITE SONG BY THE PISTOL ANNIES ""HELL ON HEELS""",3,Diverse Personal Expressions
ITS HR69,IT'S HER 1969 BARRACUDA,2,Vehicle and Car Descriptions and Attributes
J BOSS,JAVIER THE BOSS,3,Diverse Personal Expressions
JON1421,BIBLE VERSE,3,Diverse Personal Expressions
KLN WNDO,CLEAN WINDOWS,3,Diverse Personal Expressions
MYOUIJA,MY OUIJA IS A BOARD GAME,3,Diverse Personal Expressions
NYUJD14,I GRADUATED FROM NYU SCHOOL OF LAW IN 2014. MY DEGREE IS A JD.,1,Business and University Identities
PEREZ5O,LAST NAME OF OWNER AND ENGINE SIZE OF CAR,2,Vehicle and Car Descriptions and Attributes
RBETO 71,MY NAME,0,Personal and Family names
SC NICA,"SC MEANS UNIVERSITY OF SOUTHERN CALIFORNIA, MY ALMA MATER NICA IS SHORT FOR NICARAGUA, MY PLACE OF BIRTH",1,Business and University Identities
SPIT65,BOAT NAME,3,Diverse Personal Expressions
3N14GVS,GOD (TRINITY) FORGIVES,3,Diverse Personal Expressions
GRRAMS$,LOVE MY GRANDMOTHER,0,Personal and Family names
MUTT$ER,RESCUES AND LOVES MUTT DOGS,3,Diverse Personal Expressions
$SUTIL,CANTANKEROUS,3,Diverse Personal Expressions
EELEGAL,WHAT ONE SHOULD NOT DO; SOMETHING ILLEGAL.,3,Diverse Personal Expressions
BLACK14,MY CAR IS A BLACK 2014,7,Colors and Descriptive Traits
BLUAXLZ,REPRESENTS THE NAME OF OUR JEEP CLUB  CALLED BLUE AXLES,2,Vehicle and Car Descriptions and Attributes
BLUEINC,BLUE LINE INC,1,Business and University Identities
BLUEWVE,BLUEWAVE IS THE NAME OF MY COMPANY,1,Business and University Identities
BLUMGIK,"BLUE, GANG REFERENCE",5,Gang Color and Controversial Affiliations
BLUOVL,"BLUE OVAL IS THE FORD COMPANY LOGO  NICKNAME, A BLUE OVAL WITH ""FORD"" INSIDE,  SINCE THE EARLY 1900'S",2,Vehicle and Car Descriptions and Attributes
BLURS,COLOR OF CAR PLUS MODEL OF CAR,7,Colors and Descriptive Traits
DUBUARX,TRANSLITERATION OF W-R-X,3,Diverse Personal Expressions
FLX7CAT,"FAVORITE CARTOON GROWING UP. ""FELIX THE CAT"".",6,Pet and Animal Themes
GRY5OH,GREY MUSTANG 5.0,2,Vehicle and Car Descriptions and Attributes
HIYAYAA,MY GRANDSON CALLS ME YAYA,3,Diverse Personal Expressions
HUNTER9,"HUNTER, HOSTILE",3,Diverse Personal Expressions
JAGERBM,"JAGER IS GERMAN FOR HUNTER, AND MY CAR IS GERMAN. BM IS BOOST MANAGEMENT BECAUSE  IT HAS A TURBO.",2,Vehicle and Car Descriptions and Attributes
LADBLUU,LOS ANGELES DODGERS BLUE,1,Business and University Identities
LCMNO69,1969 EL CAMINO,2,Vehicle and Car Descriptions and Attributes
PIKAAYU,"IN THE KAWAIISU TRIBAL LANGUAGE, IT MEANS  ""LATER"". MY FAMILY IS KAWAIISU.",3,Diverse Personal Expressions
REDSJKU,MY JEEP,2,Vehicle and Car Descriptions and Attributes
RED1935,IT'S A RED 1935 CHEVY PICKUP,2,Vehicle and Car Descriptions and Attributes
VDUB63,VW 1963,2,Vehicle and Car Descriptions and Attributes
ICOR137,BIBLE VERSR 1 CORINTHIANS 13:7,3,Diverse Personal Expressions
GLORYG,"MY NAME IS GLORIA GALBRAITH, THIS IS SHORT  VERSION OF MY NAME",3,Diverse Personal Expressions
MIJEFE,"SPANISH WORDS MEANING ""MY BOSS,"" THE  NICKNAME I CALL MY DAD",3,Diverse Personal Expressions
REDPIXI,COLOR RED SMALL CAR,7,Colors and Descriptive Traits
RKTGUY,ROCKET GUY IS ME WHO DESIGNS ROCKETS.,2,Vehicle and Car Descriptions and Attributes
SLOTSLV,SIMILAR TO SLUTS LOVE,3,Diverse Personal Expressions
3BLUBRY,#3 BLUEBERRY (LIKE THE FRUIT BECAUSE I HAVE  A LITTLE BLUE CAR),7,Colors and Descriptive Traits
AAKGHV,MY INITIALS AND COUNTRY OF BIRTH,4,Area code and Numbers
AMGG666,NUMBERS MEAN GOOD LUCK,4,Area code and Numbers
CAAATSS,I REALLY LOVE CATS.,6,Pet and Animal Themes
CAN28O5,LAST NAME AND AREA CODE OF BIRTH,0,Personal and Family names
EVILVIP,EVIL CAN BE HOSTILE TO SOME,3,Diverse Personal Expressions
EVL1LS,"""EVL"" STANDS FOR ""EARL'S VICTORY LAP"" (MY NAME IS EARL). THE ""1LS"" IS  BECAUSE IT IS A STANDARD ""LS"" MODEL",2,Vehicle and Car Descriptions and Attributes
GPA2E,GRANDPA TO EZRA,0,Personal and Family names
LNDROKT,LAND ROCKET,2,Vehicle and Car Descriptions and Attributes
OPTKLD,OPTICAL DYNAMICS,1,Business and University Identities
PTYLAX,PTY = PANAMA LAX = LOS ANGELES,1,Business and University Identities
SEPT369,MY BIRTHDAY,4,Area code and Numbers
SKULBOX,"""SKULL BOX."" CAR IS A BOX-SHAPED SCION DECORATED WITH SKULLS.",2,Vehicle and Car Descriptions and Attributes
SR71F16,AIRCRAFT I WORKED ON IN THE AIR FORCE  BEFORE RETIRING IN 3006,1,Business and University Identities
UZGUYS,"UZ IS SIMILAR TO OOZIE, WEAPON REFERENCE",3,Diverse Personal Expressions
WMWMNMW,CODE ALIAS,3,Diverse Personal Expressions
ZBEHNTR,IT STANDS FOR ZOMBIE HUNTER.,3,Diverse Personal Expressions
14RS5,YEAR AND MODEL OF AUDI RS5,2,Vehicle and Car Descriptions and Attributes
1969Z,PLATE IS GOING ON A 1969 CAMARO Z28,2,Vehicle and Car Descriptions and Attributes
37TOPLS,CONVERTABLE,3,Diverse Personal Expressions
FLYF18,FLY F18 AIRCRAFT FOR THE US NAVY.,1,Business and University Identities
1USAF,MOST LIKELY STANDS FOR UNITED STATES AIR FORCE BUT AF CAN ALSO STAND FOR AS FUCK,1,Business and University Identities
HNTNTK,HUNTING TRUCK,2,Vehicle and Car Descriptions and Attributes
JBADTOY,JOHNS BAD TOY,3,Diverse Personal Expressions
KA388,"88, GANG REFERENCE",4,Area code and Numbers
UNDEAD2,"IT IS A REFERENCE TO THE SHOW ""THE WALKING DEAD""",3,Diverse Personal Expressions
84WLDCT,1984 WILDCAT,3,Diverse Personal Expressions
93HIWAY,"93 IS THE YEAR OF THE  VEHICLE AND HIWAY IS SHORT TERM FOR HIGHWAY,  PEOPLE ALSO CALL THESE CARS A HIGHWAY",2,Vehicle and Car Descriptions and Attributes
BBWEST,FOR MY BABY BOY WEST,1,Business and University Identities
BLUMOND,BLUE MONDAY- MONDAYS ARE BAD,3,Diverse Personal Expressions
B5BLUES,CAR COLOR,7,Colors and Descriptive Traits
CATROLE,ITS A MIXTURE OF MY NAME AND NICKNAME.,0,Personal and Family names
COCOBMW,COCO IS OUR DOG AND BMW IS THE CAR MAKE  WE DRIVE HIM IN ;),3,Diverse Personal Expressions
CRUMSBB,LAST NAME AND BUMBLE BEE,3,Diverse Personal Expressions
DCHSS,NICK NAME,0,Personal and Family names
DVILLE,CADILLAC DEVILLE,2,Vehicle and Car Descriptions and Attributes
FEB1311,MY DECEASED SON'S BIRTHDAY,4,Area code and Numbers
GLAT,G= GREG LAT=LATHAN,1,Business and University Identities
GREYCAT,FAMILY PET,6,Pet and Animal Themes
G38O,OTHER MODEL OF CAR,2,Vehicle and Car Descriptions and Attributes
HLLBENT,BENT,3,Diverse Personal Expressions
HNTRTRK,HUNTER'S TRUCK,2,Vehicle and Car Descriptions and Attributes
HNT4DUX,IM A DUCK HUNTER,3,Diverse Personal Expressions
HWA2HEL,HIGHWAY TO HELL,2,Vehicle and Car Descriptions and Attributes
HYBYCZO,THE HYPERSPACE BYPASS CONSTRUCTION ZONE,1,Business and University Identities
JCDUBS,JC DUBS IS AN ALLUSION TO THE MODEL OF THE MINI COOPER (JCW),2,Vehicle and Car Descriptions and Attributes
JOYBRD1,"NAME OF BUSINESS ""JOYBIRD""",1,Business and University Identities
JSAF89,MINE AND MY WIFE'S INITIALS AND TOGETHER  SINCE 89,0,Personal and Family names
KATNAP,A PLAY ON WORDS SINCE MY NAME IS KAT AND  THE TERM CAT NAP REFERS TO A QUICK NAP  OFTEN TAKEN BY CATS BUT HUMANS NOW USE  THE TERM,6,Pet and Animal Themes
LJ18K26,LEONDRE JAZZ 18 KIRSCHELLE 26,3,Diverse Personal Expressions
MINI4BB,MINI COOPER FOR BABY,2,Vehicle and Car Descriptions and Attributes
OTRO1,ON THE RISE,3,Diverse Personal Expressions
OTRO2,ON THE RISE,3,Diverse Personal Expressions
OTRO3,ON THE RISE,3,Diverse Personal Expressions
O1O2,ANNIVERSARY,4,Area code and Numbers
O9HTROD,2009 HOTROD FOR MY 09 CHALLENGER SRT8,2,Vehicle and Car Descriptions and Attributes
REDDV,RED FIVE,7,Colors and Descriptive Traits
REDWDOW,"RED WIDOW. WANTED BLACK WIDOW, WASNT AVAILABLE SO CHOSE RED AS THE COLOR",7,Colors and Descriptive Traits
SEIBDSL,LAST NAME /ENGINE TYPE,2,Vehicle and Car Descriptions and Attributes
SELLM,SELL CARS,2,Vehicle and Car Descriptions and Attributes
SHAYDUB,"MY FIRST NAME SHORTENED, AND INITIAL OF MY LAST. SHAY W",0,Personal and Family names
SHRTY1,I'M A SHORT PERSON ONE,3,Diverse Personal Expressions
SLUGBG,WE USED TO REFER TO RED VW BEETLES AS SLUG BUGS,3,Diverse Personal Expressions
SNAKED1,VIPER IS A SNAKE,3,Diverse Personal Expressions
STR8RKT,IT MEANS GETTING OUTDONE IN A SPORT,3,Diverse Personal Expressions
SVTRAP1,MY TRUCKS BRAND,2,Vehicle and Car Descriptions and Attributes
THEDSL,THE DIESEL TRUCK,2,Vehicle and Car Descriptions and Attributes
V8GT5O,V8 GT 5.0 THIS IS FOR A 2017 MUSTANG GT WITH A 5.0 V8,2,Vehicle and Car Descriptions and Attributes
YOBRAA,FRIENDLY GREETING USED BY SURFERS,3,Diverse Personal Expressions
1117,FAMILY SOCCER NUMBERS,1,Business and University Identities
11846,BADGE NUMBER,1,Business and University Identities
12213,SIGNIFICANT DATE,4,Area code and Numbers
13766,PERSONAL ID NUMBER,1,Business and University Identities
1969F1,I DRIVE A 1969 FORD F100 CLASSIC TRUCK. I WOULD LIKE THE LICENSE PLATE TO RESEMBLE WHAT YEAR AND MODEL THE TRUCK IS.,2,Vehicle and Car Descriptions and Attributes
CKMKHI,CK & MK LOVE HAWAII,3,Diverse Personal Expressions
BBBLUEZ,MY HUSBAND KIDS AND I ALL HAVE BLUE EYES,7,Colors and Descriptive Traits
KATZBEE,KATHY'S SUPERBEE,3,Diverse Personal Expressions
LVS2SKI,LOVES TO SKI,3,Diverse Personal Expressions
MMEOW,MEOW,6,Pet and Animal Themes
REDVDG,RED VIZSLA DOG,7,Colors and Descriptive Traits
UNEEDAC,AC COMTROCTOR,1,Business and University Identities
VAIPTRL,VAPOR TRAIL. CONTRAIL. THE VAPOR FROM THE  JET ENGINES AT ALTITUDE,3,Diverse Personal Expressions
122O7,12=L 20=T 7=G,7,Colors and Descriptive Traits
