plate,customer_meaning,original_class,facebook_class,valhalla_class,xlm_class,majority_vote
BK $ MI,BK BLOOD KILLER,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Pet and Animal Themes,Gang Color and Controversial Affiliations
DUZ 14S,MY CAR WILL GO 1/4 MILE TRACK IN 14 SECONDS,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
HARDCAT,SHOW CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
HEL KTN,HELL KITTEN,Pet and Animal Themes,Pet and Animal Themes,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes
JIB GIRL,A GIRL WHO SNOWBOARDS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
JICE,NICK NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
KNKYBRN,UNIVERSITY OF KANSAS AND UNIVERSITY OF KENTUCKY BRAIN,Business and University Identities,Business and University Identities,Business and University Identities,Business and University Identities,Business and University Identities
OGSK8ER,OLD SKATER,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
TKM2DKM,TAKE ME TO THE TRACK,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
TRK4ROD,TRUCK FOR ROD,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
3KITTTY 3,"KITTY AS IN CAT, THE NUMBERS MAKE IT THE FIRST AVAILABLE KITTY THAT IS UNUSED.",Pet and Animal Themes,Pet and Animal Themes,Area code and Numbers,Pet and Animal Themes,Pet and Animal Themes
3TH,THIS IS MY ONLINE SCREEN NAME WHEN PLAYING VIDEO GAMES,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
13HOURS,"13=GANG NUMBER, NO 2013 ON ANI",Vehicle and Car Descriptions and Attributes,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
EGM 13,"ELK GROVE MILLING, ONE THREE",Business and University Identities,Area code and Numbers,Area code and Numbers,Pet and Animal Themes,Area code and Numbers
OG CAMRY,ORIGINAL CAMRY,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
R8OGS,MODEL OF THE MOTORCYCLE (BMW R80G/S),Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
ASYLUMM,OUR FAMILY TRAILER IS OUR ASYLUM. THANK  YOU,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
HODOR,HO,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions
YIFF M3,CYBER SEX,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
DABUMZ,BUMZ COULD BE ASS,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Pet and Animal Themes,Gang Color and Controversial Affiliations
DENZ 13,MY NAME AND AUTO YEAR,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
EN G AY,GAY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
GAGRPUR,VILLAGE IN INDIA PUNJAB,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions
H1LL YA,ROCK CLIMBING,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
JMT8RJL,THE INITIALS OF MY PARENTS.,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
JOK BOXX,BOXX,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Area code and Numbers,Gang Color and Controversial Affiliations,Area code and Numbers
KAKE MAN,I'M A PASTRY CHEF,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
KRPT TKR,I AM A LICENSED FUNERAL DIRECTOR - CRYPT TAKER,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
MES RED,RED,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Colors and Descriptive Traits
NVR DYE,DYE,Colors and Descriptive Traits,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions
RBRN 69,GOING ON RESTORED 1969 GTO,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes
SKI2UDI,SKI TILL YOU DIE,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
SMKNGUY,I OWN TULARE MEAT LOCKER & SAUSAGE CO  AND I SMOKE MEAT SO I THINK IT WOULD BE A GREAT PLATE SMOKING GUY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
SRFRDIE,SURF OR DIE,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Pet and Animal Themes,Gang Color and Controversial Affiliations
SSTRIKR,SUPER SPORT AND NICKNAME,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
38316VC,OFF ROAD VEHICLE CODE SECTION 38316 CVC,Business and University Identities,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
OGPOLAB,OG ORIGINAL GANGSTER,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Gang Color and Controversial Affiliations
$CCAKE,CAKE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
ZZTUSH,ZZ TOP TRIBUTE BAND WWW.ZZTUSH.COM,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
IMNATY2,I'M NASTY TOO. IT'S GOING ON A RAT ROD.,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
BLU/SPK,BLUE SPARK,Colors and Descriptive Traits,Diverse Personal Expressions,Diverse Personal Expressions,Colors and Descriptive Traits,Colors and Descriptive Traits
*23*RED/,23 RED ON ROULETTE TABLE,Business and University Identities,Colors and Descriptive Traits,Area code and Numbers,Colors and Descriptive Traits,Colors and Descriptive Traits
981BLUE/,BLUE 981 PORSCHE CAYMAN,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes
95/BLUE/,GRADUATING CLASS OF UNIVERSITY OF MICHIGAN 1995,Business and University Identities,Business and University Identities,Business and University Identities,Diverse Personal Expressions,Business and University Identities
RED1986,1986 RED PORSCHE CARRERA,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
GR8/SHOT,"GREAT SHOT, SHOOTING, VIOLENCE",Business and University Identities,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Gang Color and Controversial Affiliations
BADKTTI,"CAR IS A JAGUAR LIKE A CAT, MEANING IS BAD KITTY",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
COQUE75,NO MEANING ON REG 17,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
INTO DNB,INTO DRUM N BASS MUSIC,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
KST CAT,KANSAS STATE WILDCAT UNIVERSITY,Business and University Identities,Business and University Identities,Business and University Identities,Business and University Identities,Business and University Identities
REDTRUC,I AM A FIREFIGHTER AND THIS STANDS FOR THE RED TRUCKS THAT I DRIVE TO KEEP THE PEOPLE THAT I SERVE SAFE.,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
SCUMMYY,NICKNAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
69 CRGR,1969 DODGE CHARGER,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Gang Color and Controversial Affiliations,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
MACSCAT,ITS A JAGUAR (CAT),Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
BHNDBRS/,"BEHIND BARS, JAILER FOR LOCAL POLICE DEPT",Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Area code and Numbers,Diverse Personal Expressions
MRDEVL*/,NICKNAME FOR MARINES IS DEVIL DOG,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
$2B*TNT/,LOVE TO BE TODD & TARA,Diverse Personal Expressions,Personal and Family names,Personal and Family names,Diverse Personal Expressions,Personal and Family names
$HERBLF/,HERBALIFE DISTRIBUTOR,Business and University Identities,Pet and Animal Themes,Pet and Animal Themes,Diverse Personal Expressions,Pet and Animal Themes
9/9/RED/,80'S SONG,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
69/54OSS,1969 CHEVELL SS 540 CUBIC ENGINE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
6RETRO9/,1969 RETRO CAMARO,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
6D9*AMX/,1969 AMERICAN MOTORS EXPERIMENTAL,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
6BLADES/,NAME OF SMALL BIZ/MARTIAL ARTS ACADEMY,Diverse Personal Expressions,Business and University Identities,Business and University Identities,Business and University Identities,Business and University Identities
41GRAHM/,1941 HOLLYWOOD GRAHAM AUTO,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
H8/KMUTN,HATE COMMUTING,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
HODOOOR/,GAME OF THRONES CHARACTER,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
NVJUICE/,NAPA VALLEY WINE & JUICE IS A NICKNAME,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
PB4YUGO/,"PUG'S NAME IS YUGO, YUGO LIKES THE PACIFIC BEACH",Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
PHATKAT/,"LARGE CAT, JAGUAR MODEL IS A TYPE OF CAT",Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
/PUCKR/,HARD JEEP OBSTACLE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
RAG/1956,1956 CONVERTIBLE CHEVY BEL AIR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Vehicle and Car Descriptions and Attributes
RAGE*69/,"1969 RED VW BEETLE, NICKNAME FOR CAR",Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
REDPONI/,RED MUSTANG,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
RED/TUB*/,RED CAR,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Colors and Descriptive Traits
SHEXFST/,FAST CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
SLAMN69/,"HOT ROD TERM, 1969 CAMARO",Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes
TNT*MBZ/,TONY & TERRY'S MERCEDEZ BENZ,Vehicle and Car Descriptions and Attributes,Personal and Family names,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
TRYSOFT/,TERM FOR SEMI-PRO GAMER,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
YALLAH5/,FAV # AND LAST NAME OF SO,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
