index,plate,meaning,classification,string_classification
1167,BIGGBLU,VAN IS THE COLOR BLUE,1,"Humor, Personal, Playful"
1168,2OH9 GTO,209 AREA CODE. PONTIAC GTO FROM THE 209 AREA CODE,0,"Weapons, Cars, Masculine Themes"
1169,IJNIP,IN JESUS NAME I PRAY.,6,"Humorous, Quirky, Personal"
1170,OMGXWTF,WHAT THE FUCK,5,"Defiant, Rebellious, Aggressive"
1171,GTWBALZ,MUSTANG GT WITH AFTERMARKET POWER MODIFICATIONS,0,"Weapons, Cars, Masculine Themes"
1172,EY VATO,HEY BUDDY in Spanish,4,"Profanity, Drugs, Gang References"
1173,BLOWWWN,VEHICLE IS A HELLCAT WITH A SUPERCHARGED (OR BLOWN) ENGINE.,0,"Weapons, Cars, Masculine Themes"
1174,BLUPHX,BLUE PHOENIX TO RISE FROM THE ASHES,8,"Sexual, Provocative"
1175,WREATER,IT MEANS I COMPEAT WITH WIDE RECEIVERS ON THE FOOTBALL FIELD,4,"Profanity, Drugs, Gang References"
1176,2NDN8TR,SECOND NATURE- MY BUSINESS NAME,4,"Profanity, Drugs, Gang References"
1177,BLQXTC,ECSTASY IS A DRUG REFERENCE,1,"Humor, Personal, Playful"
1178,HELLC16,HELLCAT 2016 NAME OF THE DODGE CHALLENGER CAR MODEL,4,"Profanity, Drugs, Gang References"
1179,PB1O 51O,PUNJA 510,1,"Humor, Personal, Playful"
1180,KING BRA,ITS A 2014 SHELBY COBRA AND IT IS KING.,0,"Weapons, Cars, Masculine Themes"
1181,BLKSKAT,COLOR AND MODEL OF VEHICLE,3,"Personal, Family, Sentimental"
1182,FK TRUMP,FUCK TRUMP,5,"Defiant, Rebellious, Aggressive"
1183,BLCK BST,BLACK BEAST FOR BLACK DODGE CHALLENGER HAS A 2013 DODGE CP ON ANI,4,"Profanity, Drugs, Gang References"
1184,R8DER88,IMA RAIDER FAN AND I WAS BORN ON 1988,6,"Humorous, Quirky, Personal"
1185,DRV PINK,DRIVE PINK = SUPPORTING BREAST CANCER RESEARCH,4,"Profanity, Drugs, Gang References"
1186,SLM O916,INITIALS AND B IRTHDAY ,3,"Personal, Family, Sentimental"
1187,GUNSTOR,I OWN TWO GUN STORES GUN STORE,7,"Sports, Teams, Regional"
1188,911 JUMP,EMERGENCY JUMPSTART,7,"Sports, Teams, Regional"
1189,TPOTKID,"TEA POT KID, MY DADS NICKNAME AND WE INHERITED HIS CAR",4,"Profanity, Drugs, Gang References"
1190,FLAT SEX,REFERS TO THE SPECIAL FLAT 6 NORMALLY ASPIRATED ENGINE WHICH IS IN THE CAR,4,"Profanity, Drugs, Gang References"
1191,BLKBEZY,"BLACK FOR BLACK CAR, BEEZY NICKNAME",4,"Profanity, Drugs, Gang References"
1192,STANKEE,(VEHICLE) IT STINKS,4,"Profanity, Drugs, Gang References"
1193,L A BUMZ,an insult… but has been out spelled with an s since 1984,1,"Humor, Personal, Playful"
1194,MY 1 TACO,MY FIRST TACOMA. TACO IS SHORT FOR TACOMA (TOYOTA TRUCK),6,"Humorous, Quirky, Personal"
1195,R1O2712,BIRTH DATE,1,"Humor, Personal, Playful"
1196,515OR8,OAKLAND RAIDERS FAN NICKNAME,0,"Weapons, Cars, Masculine Themes"
1197,KHACH$U,MEMORIAL FOR MY OLDER BROTHER WHO PASSED AWAY,8,"Sexual, Provocative"
1198,IRINA D,WIFES NAME,3,"Personal, Family, Sentimental"
1199,OO7S911,JAMES BOND CAR,7,"Sports, Teams, Regional"
1200,3OH XHT,30 IS MY FAVORITE NUMBER. H IS MY LOVERS INTIAL. X FOR KISS. HT IS MY INITIALS,6,"Humorous, Quirky, Personal"
1201,PAPO,SPANISH SLANG FOR VAGINA,2,"Sexual, Offensive, Controversial"
1202,GRVSEND,GRAVES END AN AREA OF BROOKLYN NY,4,"Profanity, Drugs, Gang References"
1203,GTOKEEF,KEITHS GTO,7,"Sports, Teams, Regional"
1204,MAS TACO,TACOMAS IN RANDOM SEQUENCE,4,"Profanity, Drugs, Gang References"
1205,415 JEEP,POLICE CODE FOR DISTURBANCE AND MAKE OF VEHICLE,0,"Weapons, Cars, Masculine Themes"
1206,82 WPB,WE PULL BITCHES. THIS IS A VETERAN AUTO PLATE,4,"Profanity, Drugs, Gang References"
1207,8O5BUMN,(805) AREA CODE IN SANTA BARBARA (BUMN) BEING A BUM ON THE BEACH,4,"Profanity, Drugs, Gang References"
1208,BLU7PRL,SPIRITUAL WISDOM BLUE ,8,"Sexual, Provocative"
1209,LT HOE,HOE-WHORE,8,"Sexual, Provocative"
1210,SAVG TRD,SAVAGE TOYOTA RACING DEVELOPMENT,1,"Humor, Personal, Playful"
1211,NR & OG,NO REGRETS ORIGINAL MEMBER. ITS A CAR CLUB.,4,"Profanity, Drugs, Gang References"
1212,GRINNY G,I GRIN A LOT,1,"Humor, Personal, Playful"
1213,SXYLITB,"THE B MOST LIKELY STANDS FOR BITCH, SEXY LIT BITCH",6,"Humorous, Quirky, Personal"
1214,KRAPF,FAMILY NAME,1,"Humor, Personal, Playful"
1215,IIDH8TO,INDUSTRIAL INJECTION DIESEL HOUSTON,7,"Sports, Teams, Regional"
1216,2JS OSHT,FUNNY QUOTE FROM THE MOVIE FAST AND  FURIOUS,0,"Weapons, Cars, Masculine Themes"
1217,PC PUMPN,PUMPIN IS A SEXUAL REFERENCE,1,"Humor, Personal, Playful"
1218,PEW X2,PEW PEW WAS TAKEN. ITS A FUNNY WAY OF SAYING TARGET PRACTICE FOR VETERA,6,"Humorous, Quirky, Personal"
1219,TMGLIFE,TMG = TAKE MANS GASH (GIRL),2,"Sexual, Offensive, Controversial"
1220,GUN1NER,MOTORCYCLE MODEL,7,"Sports, Teams, Regional"
1221,MO THUGZ,HIGH SCHOOL NICKNAME,1,"Humor, Personal, Playful"
1222,RAPT KLR,VEHICLE HAS A VINYL BODY WRAP AND ITS FAST SO ITS A KLR RIDE,0,"Weapons, Cars, Masculine Themes"
1223,2F4 PLAY,TO FORPLAY SEXUAL REFERENCE,4,"Profanity, Drugs, Gang References"
1224,FKNJAYY,FUCKING JAY,5,"Defiant, Rebellious, Aggressive"
1225,HNC 72,"URBAN DICTIONARY SAYS HNC=HNIC, AN ACRONYM CONTAINING THE N WORD. 72=THE YEAR SHE WAS BORN",2,"Sexual, Offensive, Controversial"
1226,NISMO J,NISMO IS THE TYPE OF NISSAN JUKE I OWN AND J IS FOR MY FOR FIRST NAME,6,"Humorous, Quirky, Personal"
1227,SD14,WIFES INITIALS AND MY SONS DATE OF BIRTH,3,"Personal, Family, Sentimental"
1228,PUFF N1,PUFF IS FOR PUFIN WHICH IS A BIRD. N MEANS IN. 1 AS IN GOLF HOLE IN ONE,2,"Sexual, Offensive, Controversial"
1229,B 7 KY,7 IS MY FAVORITE NUMBER AND KY IS WHAT PEOPLE CALL ME,6,"Humorous, Quirky, Personal"
1230,GDELEON,OWNERS NAME,1,"Humor, Personal, Playful"
1231,MAMRED,LOVE MOM RED,5,"Defiant, Rebellious, Aggressive"
1232,QUIK II,THE CAR IS A CHEVY II (CHEVY 2) AND IT IS VERY QUICK,6,"Humorous, Quirky, Personal"
1233,GRDEAD,ABBREVIATION FOR MY FAVORITE BAND THE GRATEFUL DEAD,1,"Humor, Personal, Playful"
1234,PANDA13,PANDA THE ANIMAL AND GRADUATION YEAR,7,"Sports, Teams, Regional"
1235,GOTAB18,A SPECIFIC TYPE OF HONDA MOTOR. A B18 IS A  MOTOR IN THE SPECIFIC BSERIES CLASS OF  HONDA,0,"Weapons, Cars, Masculine Themes"
1236,CATNI,MY WIFE AND I,8,"Sexual, Provocative"
1237,JAPXCN,JAPANESE MEXICAN,7,"Sports, Teams, Regional"
1238,D#KIKE,D FOR THE FIRST LETTER OF MY DAUGHTERS NAME AND DANIELA. KIKE IS FOR NICKNAME FOR MY SON ENRIQUE KIKE IS RACIST SLANG TOWARDS JEWISH PEOPLE.,6,"Humorous, Quirky, Personal"
1239,GOBLU23,UNIVERSITY OF MICHIGAN BAND SONG LETS GO BLUE 23 IS MY FAVORITE NUMBER,4,"Profanity, Drugs, Gang References"
1240,OGDUZIT,NICKNAME,1,"Humor, Personal, Playful"
1241,O9WOODY,CAR IS 2009 FORD FLEX WITH A FAKE WOODY  PAINT JOB,0,"Weapons, Cars, Masculine Themes"
1242,18HD BYZ,18-HITLER,0,"Weapons, Cars, Masculine Themes"
1243,AOB 4ME,All of Books 4 Me To Read,4,"Profanity, Drugs, Gang References"
1244,JIVECAT,COOL GUY,8,"Sexual, Provocative"
1245,AHHDAMN,JUST MY EVERYDAY EXPRESSION EVERYTIME I SEE AN AWESOME OR FUNNY STUFF I TEND TO SAY OHH DAMN. THANK YOU!,6,"Humorous, Quirky, Personal"
1246,GT 5O CS,2011 MUSTANG GT CALIFORNIA SPECIAL,7,"Sports, Teams, Regional"
1247,1BLKBOX,ONE BLACK vagina  bad words,1,"Humor, Personal, Playful"
1248,TNT12B,TNT12B,7,"Sports, Teams, Regional"
1249,69  VA,"69, no 1969 car on ani",4,"Profanity, Drugs, Gang References"
1250,2REDRUM,MURDER,1,"Humor, Personal, Playful"
1251,VRGON,NAME,1,"Humor, Personal, Playful"
1252,KATITUD,"ATTITUDE, CATTITUDE. WILL BE ON A JAGUAR.",6,"Humorous, Quirky, Personal"
1253,TLB8888,TLB IS MY NAME . NUMBER 8 IS LUCKY NUMBER.,6,"Humorous, Quirky, Personal"
1254,L9NEGRA,MY TRUCK IS ALL BLACK SO I CALL HER LA NEGRA. ITS A SPANISH MEANING FOR A BLACK TRUCK,6,"Humorous, Quirky, Personal"
1255,U2RNEXT,THREATENING? YOU TOO ARE NEXT,4,"Profanity, Drugs, Gang References"
1256,CRXXXAL,"CRYSTAL, A GIRLS NAME. WITH THREE X IN PLACE OF Y, S AND T.",6,"Humorous, Quirky, Personal"
1257,7MACK,US ARMY VETERAN,7,"Sports, Teams, Regional"
1258,SUPR TCO,SUPER TACO. COULDNT VERIFY TOYOTA,6,"Humorous, Quirky, Personal"
1259,CODE MKY,CODE MONKEY IS A NICKNAME FOR SOFTWARE DEVELOPERS - WHICH I AM.,4,"Profanity, Drugs, Gang References"
1260,ESKLAID,"HAS A 2015 CADI, PULLED BECAUSE OF THE WAY LAID IS SPELLED, A SEXUAL CONNOTATION",4,"Profanity, Drugs, Gang References"
1261,7YDP18,18-HITLER,0,"Weapons, Cars, Masculine Themes"
1262,3B$CHON,WE OWN 3 BICHON FRISE DOGS. THIS IS NOT A SWEAR WORD.3 BITCHIN,6,"Humorous, Quirky, Personal"
1263,78SC911,THE CAR IS A 1978 MODEL YEAR PORSCHE 911 AND IN THAT YEAR IT WAS CALLED A 911SC,6,"Humorous, Quirky, Personal"
1264,CHP1969,REFERS TO THE YEAR OF MANUFACTURE AND  FORMER AGENCY FOR WHICH THE CAR USED TO SERVE,3,"Personal, Family, Sentimental"
1265,FACT5O,"FUCK 5O, POLICE REFERENCE",4,"Profanity, Drugs, Gang References"
1266,HNTRTRK,HUNTERS TRUCK,1,"Humor, Personal, Playful"
1267,F4OEATR,"MY LAST CAR, AN F40 BIT IT & THIS IS MY REPLACEMENT",6,"Humorous, Quirky, Personal"
1268,G WULF,IT MEANS GRAY WULF NATIVE AMERCAN NAME.,2,"Sexual, Offensive, Controversial"
1269,MNT MRDR,PULLDED FOR MRDR = MURDER?,4,"Profanity, Drugs, Gang References"
1270,OMW7FYB,ON MY WAY FUCK YOU BITCH,5,"Defiant, Rebellious, Aggressive"
1271,HH 20,INITIALS AND BIRTHDAY,3,"Personal, Family, Sentimental"
1272,707 OMG,MY CAR HAS 707 HORSEPOWER. SO OH MY GOD JUST EMPHASIZES.,4,"Profanity, Drugs, Gang References"
1273,SNWBNDT,SNOW BANDIT. MEANING I LOVE THE SNOW.,2,"Sexual, Offensive, Controversial"
1274,MAXATTK,MAXIMUM ATTACK,1,"Humor, Personal, Playful"
1275,HUMMY,"NICKNAME FOR VEHICLE, WHICH IS A HUMMER H3.",0,"Weapons, Cars, Masculine Themes"
1276,BSD 88.00,INITIALS OF MY FULL NAME 88 IS GOOD FENG SHUI,4,"Profanity, Drugs, Gang References"
1277,OHELLNA,OH HELL NO!,5,"Defiant, Rebellious, Aggressive"
1278,G TIMES,GOOD TIMES,8,"Sexual, Provocative"
1279,BRAAP88,COMPANY NAME - BRAAP - ITS THE SOUND A MOTORCYCLE MAKES WHEN ITS ON THE THROTTLE. 1988 YEAR OF THE VEHICLE,0,"Weapons, Cars, Masculine Themes"
1280,GMR BAE,GAMER BABE,1,"Humor, Personal, Playful"
1281,MSCL 5OH,PULLED FOR 5O,1,"Humor, Personal, Playful"
1282,5O KLBR,50 CALIBAR-GUNS,7,"Sports, Teams, Regional"
1283,1KLR67,ONE KILLER MUSTANG 67,7,"Sports, Teams, Regional"
1284,MY FJ14,MY FJ CRUISER 2014,4,"Profanity, Drugs, Gang References"
1285,BRAWL,BRAWLER,7,"Sports, Teams, Regional"
1286,O8STAR8,DAUGTHER NAME IN MEMORY,1,"Humor, Personal, Playful"
1287,NOT4U2K,NOT FOR YOU TO KNOW,1,"Humor, Personal, Playful"
1288,TNT&RDH,DYNOMITE REGISTERED DENTAL HYGIENIST,7,"Sports, Teams, Regional"
1289,DJ GATO,DJ NAME,4,"Profanity, Drugs, Gang References"
1290,8BADGER,ATE BADGER,8,"Sexual, Provocative"
1291,KYLSTRK,KYLES TRUCK,7,"Sports, Teams, Regional"
1292,PPSYKAT,PURPLE SILVER CAT PUSSY CAT,7,"Sports, Teams, Regional"
1293,GNS2REV,GENESIS TO REVELATION,8,"Sexual, Provocative"
1294,67 428HO,67= CAR YEAR 428= ENGINE SIZE HO= HIGH OUTPUT MOTOR,4,"Profanity, Drugs, Gang References"
1295,FUCTRMP,FUCK TRUMP,5,"Defiant, Rebellious, Aggressive"
1296,FDAPOPO,FAMILY PETS NAME,1,"Humor, Personal, Playful"
1297,JFZME,"MY FIRST INITIAL, MY WIFES FIRST INITIAL, AND THE FIRST INITIALS OF OUR CHILDREN.",3,"Personal, Family, Sentimental"
1298,SECAMDT,"SECOND AMENDMENT SECOND AMENDMENT, GUN REFERENCE",3,"Personal, Family, Sentimental"
1299,$2EAT P,LOVE TO EAT PUSSY,8,"Sexual, Provocative"
1300,IHV2SHT,I HAVE TO SHOOT (BASKETBALL),4,"Profanity, Drugs, Gang References"
1301,POLIZE1,POLIZE = GERMAN FOR POLICE,2,"Sexual, Offensive, Controversial"
1302,GANG PAO,THIS IS MY NICKNAME IN CHINESE,4,"Profanity, Drugs, Gang References"
1303,DAMTGRM,"DAMMIT, PROFANITY",5,"Defiant, Rebellious, Aggressive"
1304,ZILL4,LOOKS SIMILAR TO ZILLA WHICH IS A GANG REFERENCE (Has 2015 Dodge Coup),4,"Profanity, Drugs, Gang References"
1305,NJYABWL,ENJOY A BOWL (MARIJUANA REFERENCE) OR ENJOYABLE,4,"Profanity, Drugs, Gang References"
1306,HONDO13,NAME AND LUCKY NUMBER,3,"Personal, Family, Sentimental"
1307,DE666VL,MY FAVORITE NUMBERS AND DEV IS MY WIFES NAME. L IS LAST INITIAL,6,"Humorous, Quirky, Personal"
1308,T WILLI,Tyler Williams,7,"Sports, Teams, Regional"
1309,MTF BWM,"MTF MOTHER FUCKER male to female transexual 523 Up, 129 Down",4,"Profanity, Drugs, Gang References"
1310,13E13 A,"13 (TERA) IN PUNJABI MEANS YOURS. COMPLETE MEANING OF PLATE IS THAT HE ALMIGHTY GOD, ALL IS YOURS",6,"Humorous, Quirky, Personal"
1311,BEEZYYY,ANOTHER WORD FOR BITCH,1,"Humor, Personal, Playful"
1312,NUTS 4RV,ALMOND FARMERS RV,7,"Sports, Teams, Regional"
1313,INIM OG,GO MINI (BACKWARDS),4,"Profanity, Drugs, Gang References"
1314,USA GOV,USA Government,4,"Profanity, Drugs, Gang References"
1315,HULK818,FAVORITE CARTOON,8,"Sexual, Provocative"
1316,MY1KITT,KNIGHT RIDER SHOW,7,"Sports, Teams, Regional"
1317,DANI 13,NICKNAME AND LUCKY NUMBER,3,"Personal, Family, Sentimental"
1318,S55O FTW,S55O FOR THE WIN,1,"Humor, Personal, Playful"
1319,KUHNS,"MY LAST NAME, A GIFT FOR MY DAD",3,"Personal, Family, Sentimental"
1320,4 NEG RA,"NEGRA=BLACK, SOME SIMILAR PLATES ARE OUT BUT A COUPLE ARE UNACCEPTABLE",2,"Sexual, Offensive, Controversial"
1321,BLUEVAS,my car is blue and my name is vas,6,"Humorous, Quirky, Personal"
1322,1MOBMRS,AN AIR FORCE UNIT I WAWS IN AND THE MRS IS FOR MY WIFE,4,"Profanity, Drugs, Gang References"
1323,LMU13BR,THE UNIVERSITY HE GRADUATED FROM LOYOLA MARYMOUNT,1,"Humor, Personal, Playful"
1324,AK47 2A,AK 47 GUN,0,"Weapons, Cars, Masculine Themes"
1325,STLR714,NOT ON QUICKWEB YET,1,"Humor, Personal, Playful"
1326,8CHNGON,MY NICKNAME,1,"Humor, Personal, Playful"
1327,805 TACO,805 IS MY AREA CODE AND TACO IS THE VEHICLE THAT THE PLATE IS GOING ON ITS A TACOMA PICKUP TRUCK,6,"Humorous, Quirky, Personal"
1328,OGOVOLT,MY ELECTRIC CAR,8,"Sexual, Provocative"
1329,GSWAGG,IT ALLUDES TO THE NAME OF THE CAR.  (G WAGON),4,"Profanity, Drugs, Gang References"
1330,86868,GOOD LUCK NUMBERS,1,"Humor, Personal, Playful"
1331,SCAT2NV,FOR A 2015 DODGE CHALLENGER SCAT PACK TO ENVY,1,"Humor, Personal, Playful"
1332,TRQ*STR/,TORQUE STEER,7,"Sports, Teams, Regional"
1333,BYRNE88,LAST NAME AND YEAR I WAS BORN,3,"Personal, Family, Sentimental"
1334,SPC MKNY,SPACE MONKEY,8,"Sexual, Provocative"
1335,SAMRA 13,MY LAST NAME,1,"Humor, Personal, Playful"
1336,RUBRITA,RUB RITA,1,"Humor, Personal, Playful"
1337,EST6T9,YEAR I WAS BORN,1,"Humor, Personal, Playful"
1338,1WARCAT,ONE WAR CAT,8,"Sexual, Provocative"
1339,CRAAACK,WHEREVER I GO PEOPLE TURN THEIR NECKS TO LOOK AT THE CAR,4,"Profanity, Drugs, Gang References"
1340,RYDETHS,RIDE THIS,8,"Sexual, Provocative"
1341,QUIK 51O,QUICK DATSUN 51O,7,"Sports, Teams, Regional"
1342,NGRTMSA,NGR STANDS OUT… SPANISH SONG NEGRA TOMASA ABOUT A DARK/BLACK WOMAN. DIDN’T TRANSLATE THE SONG.,6,"Humorous, Quirky, Personal"
1343,FOREXXX,FOREIGN CURRENCY EXCHANGE (FOREX WAS TAKEN),7,"Sports, Teams, Regional"
1344,FLINT G,MY NAME,1,"Humor, Personal, Playful"
1345,CHP NO,"MY CHILDHOOD PETS NAME WAS CHIP, AND I WOULD ALWAYS TELL HIM NO. HE WAS LATER RAN OVER AND NOW THIS IS A MEMORIAL FOIR HIM.",6,"Humorous, Quirky, Personal"
1346,ARSLYN,FIRST NAMES,3,"Personal, Family, Sentimental"
1347,BLUBARU,THIS PLATE WILL BE ON A BLUE SUBARU. BLU-BARU,0,"Weapons, Cars, Masculine Themes"
1348,559RAZA,PEOPLE FROM MY AREA CODE,1,"Humor, Personal, Playful"
1349,FKH8ERS,FUCK HATERS,5,"Defiant, Rebellious, Aggressive"
1350,HB RIDIN,HB CAN ALSO MEAN HOT BITCH。 HOT BITCH RIDING,2,"Sexual, Offensive, Controversial"
1351,ORALE G,IT MEANS WHATS UP GEORGE,4,"Profanity, Drugs, Gang References"
1352,SUUMB CH,SOME BITCH; SON OF A BITCH,8,"Sexual, Provocative"
1353,BIGPKG,NAME OF MY BUSINESS,1,"Humor, Personal, Playful"
1354,ON K1LL,"PULLED FOR KILL,  ON KILL WAS DENIED IN 2012",4,"Profanity, Drugs, Gang References"
1355,BKBETY 3,BLACK BETTY VERSION 3 BLACK IS THE COLOR,4,"Profanity, Drugs, Gang References"
1356,KNFEGUY,I AM A KNIFE COLLECTOR SO I AM A KNIFE GUY,6,"Humorous, Quirky, Personal"
1357,INGA TU,I UNDERSTAND,1,"Humor, Personal, Playful"
1358,TAMA14,SONS NAME,1,"Humor, Personal, Playful"
1359,1 BLK GUY,IT MEANS 1 BULKY (MUSCULAR) GUY,6,"Humorous, Quirky, Personal"
1360,ARY5OH,MY NAME WITH THE CAR I DRIVE,1,"Humor, Personal, Playful"
1361,PITOLCO,PITO IS SPANISH SLANG FOR PENIS,2,"Sexual, Offensive, Controversial"
1362,DON BH8N,THE PLATE SPELLS OUT DON’T BE HATING. IT’S A JOKE MY BETTER HALF AND I HAVE,4,"Profanity, Drugs, Gang References"
1363,SMASHRS,SMASH A SEXUALREFERENCE shash her,8,"Sexual, Provocative"
1364,OG AUTO,MY BUSINESS NAME,1,"Humor, Personal, Playful"
1365,LIVNBCH,LIVE ON BEACH,1,"Humor, Personal, Playful"
1366,2THEBLU,TO THE OCEAN,8,"Sexual, Provocative"
1367,DUYOUGU,FEELING IN TURKISH LANGUAGE DUYGU,4,"Profanity, Drugs, Gang References"
1368,$2 RAGE,RAGE AGAINST THE MACHINE IS A BAND THAT I LOVE! ITS ONE OF MY FAVORITES,4,"Profanity, Drugs, Gang References"
1369,KODA B,LOOKS LIKE KODA BITCH,1,"Humor, Personal, Playful"
1370,AKNZR88,MY LAST NAME AND LUCKY NUMBERS,3,"Personal, Family, Sentimental"
1371,GO8BLUE,UNIVERSITY OF MICHIGAN FAN!,8,"Sexual, Provocative"
1372,GTHOM88,MISSISSIPPI STATE ALUMNI CHEER AND YEAR GRADUATED,3,"Personal, Family, Sentimental"
1373,SPTHLK,SPECIAL K IS A SLANG WORD FOR A TYPE OF DRUG,4,"Profanity, Drugs, Gang References"
1374,JABRONY,JABRONI - A PRO WRESTLER THAT LOSES ON PURPOSE TO MAKE THE OTHER WRESTLER LOOK GOOD,0,"Weapons, Cars, Masculine Themes"
1375,NGKA PLZ,NIGGA PLEASE,5,"Defiant, Rebellious, Aggressive"
1376,559MADE,BORN IN FRESNO 559 AREA CODE,3,"Personal, Family, Sentimental"
1377,POGIBLZ,"pogi=handsome in Tagalog, looks like pogi balls though…",2,"Sexual, Offensive, Controversial"
1378,SRF NAKD,PULLED FOR NAKED,8,"Sexual, Provocative"
1379,KCKRZ23,SHOES,1,"Humor, Personal, Playful"
1380,SHIV OO7,"SHIV IS NAME OF OUR SON, AND 007 IS REFERED TO JAMES BOND.",6,"Humorous, Quirky, Personal"
1381,RETRO AF,RETRO AS FUCK,5,"Defiant, Rebellious, Aggressive"
1382,IMPS 213,IM POSITIVE 2 1 THING,1,"Humor, Personal, Playful"
1383,SVR ARRW,SILVER ARROW,1,"Humor, Personal, Playful"
1384,DRNX PNK,I DRINK A DRINK CALLED SLIM AND ITS PINK,6,"Humorous, Quirky, Personal"
1385,K16 K08,MY SON AND DAUGHTERS INITIAL WITH THE YEAR THEY WERE BORN,3,"Personal, Family, Sentimental"
1386,FJU ALL,"MODEL OF THE VEHICLE, TO HAVE FUN WITH MY FAMILY",3,"Personal, Family, Sentimental"
1387,GAY,"Homosexual, gay",2,"Sexual, Offensive, Controversial"
1388,O71829P,"07,18 AND 29 ARE THE BIRTHDATES AND P WILL BE THE FIRST LETTER OF OUR LAST NAME",6,"Humorous, Quirky, Personal"
1389,BLUSCRZ,I LOVE LISTENING TO THE BLUES WHILE IM RIDING THE MOTORCYCLE.,6,"Humorous, Quirky, Personal"
1390,BLESS69,BLESS BY THE LORD 69 TIMES,8,"Sexual, Provocative"
1391,MI6 SPY,JAMES BOND,7,"Sports, Teams, Regional"
1392,ONEAKA,ONEAKA CAN SOUND LIKE OH NIGGA OR OH NICCA,4,"Profanity, Drugs, Gang References"
1393,INDICA,CLASSICAL GREEK AND LATIN FOR OF INDIA,2,"Sexual, Offensive, Controversial"
1394,IWANTSX,I WANT SEX,5,"Defiant, Rebellious, Aggressive"
1395,AMP EATR,ELECTRIC VEHICLE EATS AMPS FOR POWER.,0,"Weapons, Cars, Masculine Themes"
1396,TT LTD,AUTO IS AN AUDI TT LIMITED EDITION,4,"Profanity, Drugs, Gang References"
1397,DAM WGN,MY INITIALS-,8,"Sexual, Provocative"
1398,SHAYDUB,"MY FIRST NAME SHORTENED, AND INITIAL OF MY LAST. SHAY W",3,"Personal, Family, Sentimental"
1399,OPNWIDE,open wide,8,"Sexual, Provocative"
1400,BFD E 51,IT WAS THE DEPARTMENT I VOLUNTEERED FOR IN NH.,4,"Profanity, Drugs, Gang References"
1401,AMG13,INITIALS + NUMBER,3,"Personal, Family, Sentimental"
1402,ALCHAPO,EL CHAPO,8,"Sexual, Provocative"
1403,14U269,"ONE FOR YOU TO 1969 69, SEXUAL REFERENCE",4,"Profanity, Drugs, Gang References"
1404,GATUR6,A COMMON MILITARY TERM MEANING: I GOT  YOUR BACK,4,"Profanity, Drugs, Gang References"
1405,GONNER,GONNERS CAR CLUB MEMBER,7,"Sports, Teams, Regional"
1406,JYAG18,FAMILY FIRST INITIAL AND LUCKY NUMBER,3,"Personal, Family, Sentimental"
1407,STANG13,MUSTANG GT 2013,7,"Sports, Teams, Regional"
1408,AMG BS,MODEL NAME OF VEHICLE,3,"Personal, Family, Sentimental"
1409,PNK 8NGL,PINK ALNG FOR VAGINA,2,"Sexual, Offensive, Controversial"
1410,NEGRA 14,"BLACK TRUCK, YEAR 2014",0,"Weapons, Cars, Masculine Themes"
1411,BUDDY14,NICKNAME,1,"Humor, Personal, Playful"
1412,NEGRA69,BLACK 69. ITS GOING ON AN ALL BLACK 1969 CHEVELLE.,6,"Humorous, Quirky, Personal"
1413,FU GREEN,FU (CHINESE SURNAME) GREEN,2,"Sexual, Offensive, Controversial"
1414,DGR515O,MY INITIALS AND PERSONALITY,8,"Sexual, Provocative"
1415,69CNCPT,1969 PONTIAC GTO CONCEPT CAR,7,"Sports, Teams, Regional"
1416,SICK ASF,SUICK AS FUCK,5,"Defiant, Rebellious, Aggressive"
1417,R8ED R,"THIS IS FOR A VOLKSWAGEN GOLF R, HUMOROUS PLAY ON MOVIE RATING - RATED R",4,"Profanity, Drugs, Gang References"
1418,9O9 GT5O,AREA CODE OF CAR LOCATION AND MODEL OF THE CAR,0,"Weapons, Cars, Masculine Themes"
1419,IN666US,WEDDING ANNIVERSARY,1,"Humor, Personal, Playful"
1420,$NPLANB,LOVING PLAN B,1,"Humor, Personal, Playful"
1421,CHAPO15,"CHAPO TRANSLATE TO SHORT WHERE IM FROM,  IM SHORT AND THEY CALL ME CHAPO",6,"Humorous, Quirky, Personal"
1422,SLAYYYR,"THIS PLATE IS A TRIBUTE TO MY FAVORITE ROCK BAND, SLAYER. EXTENDED SPELLING REPRESENTS THE WAY FANS GREET THE BAND AT CONCERTS.",6,"Humorous, Quirky, Personal"
1423,8O5PASO,AREA CODE AND PASO ROBLES,4,"Profanity, Drugs, Gang References"
1424,WYU H8NN,WHY YOU HATING?,8,"Sexual, Provocative"
1425,TANQUE,TANK AS IN ARMY,7,"Sports, Teams, Regional"
1426,MR PSI,LOOKS LIKE A SEXUAL REFERENCE,1,"Humor, Personal, Playful"
1427,BLAQ BOX,BLACK BOX,1,"Humor, Personal, Playful"
1428,YNWA RED,YOULL NEVER WALK ALONE IS ASSOCIATED WITH LIVERPOOL FOOTBALL CLUB. RED IS THE COLOR OF THEIR JERSEY,4,"Profanity, Drugs, Gang References"
1429,WUDLIMO,WOOD LIMO GOING TO BE PUT ON A TRUCK USED FOR HAULING FIREWOOD.,0,"Weapons, Cars, Masculine Themes"
1430,TT 4 MNT,AUDI TT FOR MIKE AND TINA,0,"Weapons, Cars, Masculine Themes"
1431,EJ2OG,SUBARU MOTOR NUMBER,1,"Humor, Personal, Playful"
