plate,customer_meaning,original_class,facebook_class,valhalla_class,xlm_class,most_common_class
KATCLSM,"""CATACLISM""",Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Diverse Personal Expressions,Pet and Animal Themes
KTNMTNS,KITTEN MITTENS,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
MRFEB14,MR VALENTINE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
NBASHOT,NBA BASKETBALL - SHOT IN GAME.,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
NEDAM,"""WON'T GIVE"" IN RUSSIAN",Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
NERFDIS,"""NERF THIS"" A VOICELINE OF A CHARACTER IN A GAME. MEANING TO DECREASE THE POWER OR A SPECIAL ABILITY.",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
NINERD,SAN FRANCISCO 49ERS AND MY FIRST NAME  WITH MY FIRST INITIAL,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
NOVAX,NO VAX,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Area code and Numbers
NRFTHS,VIDEO GAME REFERENCE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
OLBLU68,"ITS A 1968 BLUE CHEVY CONVERTIBLE SO AN OLDER BLUE CLASSIC CAR OR ""OL BLUE""",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
PAINMKR,"PAIN MAKER. THIS PLATE IS GOING ON A 1966 CAMARO WITH A BIG MOTOR IN IT. PLEASE MAKE SURE THAT THERE IS A HALF SPACE BETWEEN ""N"" AND ""M""",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
PELON64,MY SONS NAME,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
PLGIT,"PLUG IT, IT'S A PLATE FOR AN ELECTRIC CAR",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
RAULG,MY NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
REDMEGN,"RED IS THE COLOR OF THE CAR, MEGHAN IS THE  OWNER'S FIRST NAME",Colors and Descriptive Traits,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Personal and Family names,Colors and Descriptive Traits
REDS16,NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
REDWGFM,RED WING FAMILY WE ARE A FAMILY OF DETROIT RED WINGS FANS,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
RIDEHD,RIDE HARLEY DAVIDSON MOTORCYCLES,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
SASYCAT,MY NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
SCM1964,SCM IS A ABBREVIATION FOR A PITTSBURGH  STEELERS FOOTBALL FAN CLUB NAMED STEEL CITY MAFIA.,Business and University Identities,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,
SCVBBXG,"SCUM BAG, A BMX BIKE QUOTE",Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Vehicle and Car Descriptions and Attributes,
SCVMBXG,"SCUM BAG, BMX BIKE QUOTE",Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Vehicle and Car Descriptions and Attributes,
SSADLUP,SADDLE UP,Diverse Personal Expressions,Business and University Identities,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions
SUBIBTY,SUBIBOOTY  IT'S AN ENDEARING TERM IN THE SUBARU COMMUNITY.,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
TOMCATS,MY NICK NAME IS TOMCAT,Personal and Family names,Pet and Animal Themes,Diverse Personal Expressions,Personal and Family names,Personal and Family names
TRANS,TRANSGENDER,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
VAPOR1,TO VAPORIZE MEANS TO LEAVE A LOCATION  VERY QUICKLY,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
VFXSHOT,VISUAL EFFECTS SHOT. IT IS RELATED TO THE FILM INDUSTRY. THE FILM SHOT WHICH HAS COMPUTER GENERATED EFFECTS.,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Colors and Descriptive Traits,Diverse Personal Expressions
VWGN,SHORT FOR CTS-V WAGON,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
WKIDSS,WICKED SS,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,
XTRMSS,XTREME SUPER SPORT,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
ZH666,"INITIAL OF MY NAME,EVERYTHING WILL BE GOOD",Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1REDDEV,THE RED DEVIL ..MY TRUCK IS ALL RED,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,
6T9GTX,6T9 IS FOR THE YEAR 1969 AND GTX IS THE  PLYMOUTH MODEL FROM THAT YEAR,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes
7X749ER,SAN FRANCISCO 49ER,Business and University Identities,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
8BURITO,I LIKE TO EAT BURRITOS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
BRIGAND,A BRIGAND IS A MEMBER OF A GANG,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions
DKHRS2,COULD LOOK LIKE DICK WHORES,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
OMG$EAT,ORMERE M GARCIA LOVES EDWARD A TREVINO,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
CAKVET,CHARLES ALBERT KNOWLES VETERAN,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BLUSHU,MY CAR IS BLUE AND LOOKS LIKE A SHOE.,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
F14TCAT,THE F14 TOMCAT WAS A FIGHTER PLANE  DEVELOPED FOR THE NAVY,Business and University Identities,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
2GO2BCH,TO GO TO BEACH,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
MFFL JJ5,MAVERICKS FAN FOR LIFE,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
1SINNER,MY BAND NAME,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
4O6 NOVA,ENGINE SIZE AND TYPE OF CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
XOXO G,"HUGS AND KISSES, GIVE",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
ALIEN G,ALIEN G-WAGON,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations
BLU BETY,BLUE BETTY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
BRACAM,"BRA=BRASIL, CAM=SOCCER",Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Gang Color and Controversial Affiliations,Area code and Numbers
BREZZZZ,NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
CAT EME,CATARINA EMETCROO,Pet and Animal Themes,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
CMBJ 321,FAMILY INITIAL/KIDS BIRTHDAYS,Area code and Numbers,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
DIRTYX5,NO MEANING ON REG 17,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
F VERA,FIRST NAME AND LAST NAME,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
GRMMYJO,GRAMMY JO,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
HBM1OO3,MY & MY HUSBANDS OLD PAGER CODES / GAMING CODES,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
KRABS,MR KRABS FROM THE CARTOON SPONGEBOB SQUARE PANTS,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Diverse Personal Expressions
LV BLU6,LOVE BLUE 6 MY FATHER PLAYED FOR THE DODGERS AND HIS NUMBER WAS #6,Business and University Identities,Personal and Family names,Area code and Numbers,Pet and Animal Themes,
ROJO RQR,RED ROCKER,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations
SEXY B7,"THIS JUST MEANS THAT THE CAR LOOKS GOOD, BECAUSE AS A CAR ENTHUSIAST I TRY MY BEST TO KEEP IT CLEAN AND NICE WITH EVERY MODIFICATION I MAKE. I WAS ALREADY DENIED ONCE",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
SHARIF1,UNIVERSITY NAME,Business and University Identities,Business and University Identities,Business and University Identities,Diverse Personal Expressions,Business and University Identities
SICK14,2014 YEAR OF THE TRUCK SICK BECAUSE IS CUSTOM,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1DIRTY7,CARS NICKNAME,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes
4HEDMON,OUR FAMILY IS KNOWN AS THE FOUR HEADED MONSTER BECAUSE THERE ARE  FOUR OF US AND WE ARE ALWAYS TOGETHER,Diverse Personal Expressions,Personal and Family names,Personal and Family names,Pet and Animal Themes,Personal and Family names
FLS BK,FLASH BACK,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BLUE 24O,BLUE = GANG COLOR,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
JOY PINK,MY NAME IS JOY AND I LOVE THE COLOR PINK.,Colors and Descriptive Traits,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
DIXIT,MY LAST NAME IS DIXIT,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
DJ GATO,DJ NAME,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
GON NUTZ,NUTS,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Gang Color and Controversial Affiliations,
GROV TRK,GROOVE COULD BE A SEXUAL REFERENCE,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,
KCKROCS,PHRASE MEANING GET OUT OF HERE,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,
MALHII,LAST NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
MCBUNN,OUR LAST NAMES COMBINED,Personal and Family names,Personal and Family names,Diverse Personal Expressions,Personal and Family names,Personal and Family names
MXCO8TL,"MIXCOATL, AN AZTEC NAME",Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Diverse Personal Expressions,
NINGNSX,"NICK NAME ""NING"" CAR MAKE ""NSX""",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes
SNPDCSN,SNAP DECISION,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
FEOS 16,FEO UGLY,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Diverse Personal Expressions,
PAST GAS,PRIUS PLUG IN VEHICLE USES ELECTRICITY INSTEAD OF GAS. THIS CAR AND TECHNOLOGY IS PAST GAS.,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
